death_date,death_count
1445-06-19,40
1445-06-20,49
1445-06-21,45
1445-06-22,40
1445-06-23,52
1445-06-24,36
1445-06-25,49
1445-06-26,40
1445-06-27,48
1445-06-28,52
1445-06-29,54
1445-06-30,48
1445-07-01,45
1445-07-02,59
1445-07-03,41
1445-07-04,47
1445-07-05,43
1445-07-06,54
1445-07-07,54
1445-07-08,52
1445-07-09,45
1445-07-10,47
1445-07-11,59
1445-07-12,45
1445-07-13,45
1445-07-14,47
1445-07-15,55
1445-07-16,54
1445-07-17,41
1445-07-18,53
1445-07-19,48
1445-07-20,46
1445-07-21,48
1445-07-22,44
1445-07-23,47
1445-07-24,43
1445-07-25,41
1445-07-26,48
1445-07-27,62
1445-07-28,48
1445-07-29,37
1445-08-01,50
1445-08-02,43
1445-08-03,58
1445-08-04,58
1445-08-05,53
1445-08-06,50
1445-08-07,45
1445-08-08,45
1445-08-09,56
1445-08-10,54
1445-08-11,53
1445-08-12,37
1445-08-13,49
1445-08-14,45
1445-08-15,43
1445-08-16,48
1445-08-17,41
1445-08-18,41
1445-08-19,37
1445-08-20,48
1445-08-21,54
1445-08-22,47
1445-08-23,41
1445-08-24,47
1445-08-25,50
1445-08-26,52
1445-08-27,39
1445-08-28,46
1445-08-29,36
1445-09-01,37
1445-09-02,53
1445-09-03,50
1445-09-04,36
1445-09-05,51
1445-09-06,52
1445-09-07,43
1445-09-08,48
1445-09-09,57
1445-09-10,50
1445-09-11,42
1445-09-12,60
1445-09-13,48
1445-09-14,48
1445-09-15,47
1445-09-16,69
1445-09-17,57
1445-09-18,45
1445-09-19,41
1445-09-20,45
1445-09-21,51
1445-09-22,52
1445-09-23,50
1445-09-24,53
1445-09-25,53
1445-09-26,51
1445-09-27,44
1445-09-28,43
1445-09-29,55
1445-09-30,36
1445-10-01,45
1445-10-02,42
1445-10-03,53
1445-10-04,43
1445-10-05,60
1445-10-06,48
1445-10-07,49
1445-10-08,51
1445-10-09,44
1445-10-10,42
1445-10-11,38
1445-10-12,56
1445-10-13,50
1445-10-14,48
1445-10-15,58
1445-10-16,45
1445-10-17,43
1445-10-18,51
1445-10-19,52
1445-10-20,43
1445-10-21,54
1445-10-22,56
1445-10-23,53
1445-10-24,41
1445-10-25,47
1445-10-26,48
1445-10-27,54
1445-10-28,49
1445-10-29,46
1445-11-01,41
1445-11-02,48
1445-11-03,59
1445-11-04,65
1445-11-05,46
1445-11-06,54
1445-11-07,61
1445-11-08,51
1445-11-09,29
1445-11-10,55
1445-11-11,47
1445-11-12,54
1445-11-13,54
1445-11-14,54
1445-11-15,45
1445-11-16,50
1445-11-17,49
1445-11-18,36
1445-11-19,46
1445-11-20,69
1445-11-21,54
1445-11-22,60
1445-11-23,50
1445-11-24,40
1445-11-25,39
1445-11-26,57
1445-11-27,39
1445-11-28,42
1445-11-29,60
1445-12-01,53
1445-12-02,44
1445-12-03,37
1445-12-04,46
1445-12-05,51
1445-12-06,38
1445-12-07,53
1445-12-08,50
1445-12-09,57
1445-12-10,52
1445-12-11,47
1445-12-12,52
1445-12-13,42
1445-12-14,43
1445-12-15,54
1445-12-16,46
1445-12-17,50
1445-12-18,42
1445-12-19,62
1445-12-20,41
1445-12-21,63
1445-12-22,45
1445-12-23,48
1445-12-24,51
1445-12-25,54
1445-12-26,58
1445-12-27,47
1445-12-28,49
1445-12-29,45
1445-12-30,52
1446-01-01,51
1446-01-02,60
1446-01-03,51
1446-01-04,49
1446-01-05,49
1446-01-06,41
1446-01-07,44
1446-01-08,41
1446-01-09,36
1446-01-10,63
1446-01-11,48
1446-01-12,47
1446-01-13,57
1446-01-14,61
1446-01-15,50
1446-01-16,55
1446-01-17,44
1446-01-18,39
1446-01-19,42
1446-01-20,59
1446-01-21,47
1446-01-22,62
1446-01-23,49
1446-01-24,67
1446-01-25,59
1446-01-26,51
1446-01-27,46
1446-01-28,62
1446-01-29,47
1446-02-01,52
1446-02-02,48
1446-02-03,46
1446-02-04,53
1446-02-05,53
1446-02-06,48
1446-02-07,55
1446-02-08,60
1446-02-09,47
1446-02-10,52
1446-02-11,47
1446-02-12,54
1446-02-13,58
1446-02-14,49
1446-02-15,57
1446-02-16,57
1446-02-17,47
1446-02-18,65
1446-02-19,52
1446-02-20,38
1446-02-21,51
1446-02-22,50
1446-02-23,57
1446-02-24,37
1446-02-25,59
1446-02-26,56
1446-02-27,57
1446-02-28,65
1446-02-29,60
1446-02-30,49
1446-03-01,50
1446-03-02,43
1446-03-03,44
1446-03-04,54
1446-03-05,55
1446-03-06,66
1446-03-07,51
1446-03-08,59
1446-03-09,58
1446-03-10,61
1446-03-11,49
1446-03-12,58
1446-03-13,66
1446-03-14,52
1446-03-15,48
1446-03-16,66
1446-03-17,54
1446-03-18,55
1446-03-19,61
1446-03-20,45
1446-03-21,51
1446-03-22,49
1446-03-23,52
1446-03-24,65
1446-03-25,47
1446-03-26,50
1446-03-27,64
1446-03-28,61
1446-03-29,44
1446-03-30,55
1446-04-01,52
1446-04-02,54
1446-04-03,59
1446-04-04,46
1446-04-05,51
1446-04-06,65
1446-04-07,57
1446-04-08,72
1446-04-09,43
1446-04-10,45
1446-04-11,53
1446-04-12,72
1446-04-13,45
1446-04-14,72
1446-04-15,63
1446-04-16,56
1446-04-17,44
1446-04-18,54
1446-04-19,48
1446-04-20,53
1446-04-21,61
1446-04-22,54
1446-04-23,65
1446-04-24,58
