violation_date,paid_violations,unpaid_violations,total_violations
١٣٨٣/٠٨/١٧,1,0,1
١٣٨٣/٠٨/١٩,1,0,1
١٣٨٣/٠٨/٢١,1,0,1
١٣٨٣/٠٨/٢٢,1,0,1
١٣٨٣/٠٨/٢٣,1,0,1
١٣٨٣/٠٨/٢٦,2,0,2
١٣٨٣/٠٨/٢٧,1,0,1
١٣٨٣/٠٩/٠١,2,0,2
١٣٨٣/٠٩/٠٣,2,0,2
١٣٨٣/٠٩/٠٥,1,0,1
١٣٨٣/٠٩/١٤,1,0,1
١٣٨٣/٠٩/٢٣,1,0,1
١٣٨٣/٠٩/٢٥,1,0,1
١٣٨٣/٠٩/٢٧,1,0,1
١٣٨٣/٠٩/٢٨,2,0,2
١٣٨٣/٠٩/٢٩,1,0,1
١٣٨٣/١٠/٠١,1,0,1
١٣٨٣/١٠/٠٤,1,0,1
١٣٨٣/١٠/٠٩,1,0,1
١٣٨٣/١٠/١١,1,0,1
١٣٨٣/١٠/١٧,1,0,1
١٣٨٣/١٠/١٨,1,0,1
١٣٨٣/١٠/١٩,1,0,1
١٣٨٣/١٠/٢١,1,0,1
١٣٨٣/١٠/٢٥,1,0,1
١٣٨٣/١٠/٢٩,1,0,1
١٣٨٣/١١/٠٢,1,0,1
١٣٨٣/١١/٠٣,2,0,2
١٣٨٣/١١/١٠,2,0,2
١٣٨٣/١١/١١,1,0,1
١٣٨٣/١١/١٢,2,0,2
١٣٨٣/١١/١٣,1,0,1
١٣٨٣/١١/١٥,1,0,1
١٣٨٣/١١/٢٠,2,0,2
١٣٨٣/١١/٢٥,1,0,1
١٣٨٣/١١/٣٠,1,0,1
١٣٨٣/١٢/٠٥,1,0,1
١٣٨٣/١٢/٠٦,1,0,1
١٣٨٣/١٢/٠٧,1,0,1
١٣٨٣/١٢/٠٨,1,0,1
١٣٨٣/١٢/٠٩,1,0,1
١٣٨٣/١٢/١٣,1,0,1
١٣٨٣/١٢/١٤,1,0,1
١٣٨٣/١٢/١٥,2,0,2
١٣٨٣/١٢/١٧,3,0,3
١٣٨٣/١٢/٢٠,1,0,1
١٣٨٣/١٢/٢٢,1,0,1
١٣٨٣/١٢/٢٦,1,0,1
١٣٨٣/١٢/٢٧,1,0,1
١٣٨٣/١٢/٢٨,1,0,1
١٣٨٣/١٢/٢٩,1,0,1
١٣٨٤/٠١/٠٤,2,0,2
١٣٨٤/٠١/٠٥,1,0,1
١٣٨٤/٠١/٠٩,1,0,1
١٣٨٤/٠١/١٢,1,0,1
١٣٨٤/٠١/١٤,1,0,1
١٣٨٤/٠١/١٥,1,0,1
١٣٨٤/٠١/١٧,1,0,1
١٣٨٤/٠١/١٨,1,0,1
١٣٨٤/٠١/١٩,1,0,1
١٣٨٤/٠١/٢١,1,0,1
١٣٨٤/٠١/٢٣,1,0,1
١٣٨٤/٠١/٢٥,1,0,1
١٣٨٤/٠١/٢٨,1,0,1
١٣٨٤/٠١/٢٩,1,0,1
١٣٨٤/٠٢/٠٣,1,0,1
١٣٨٤/٠٢/٠٥,1,0,1
١٣٨٤/٠٢/٠٨,1,0,1
١٣٨٤/٠٢/١١,1,0,1
١٣٨٤/٠٢/١٢,2,0,2
١٣٨٤/٠٢/١٦,2,0,2
١٣٨٤/٠٢/١٨,1,0,1
١٣٨٤/٠٢/٢٢,1,0,1
١٣٨٤/٠٢/٢٤,1,0,1
١٣٨٤/٠٢/٢٦,2,0,2
١٣٨٤/٠٢/٢٨,1,0,1
١٣٨٤/٠٣/٠١,2,0,2
١٣٨٤/٠٣/٠٥,2,0,2
١٣٨٤/٠٣/٠٧,2,0,2
١٣٨٤/٠٣/٠٨,1,0,1
١٣٨٤/٠٣/١٢,2,0,2
١٣٨٤/٠٣/١٣,1,0,1
١٣٨٤/٠٣/١٦,2,0,2
١٣٨٤/٠٣/١٩,1,0,1
١٣٨٤/٠٣/٢٢,1,0,1
١٣٨٤/٠٣/٢٤,1,0,1
١٣٨٤/٠٣/٢٧,1,0,1
١٣٨٤/٠٣/٢٨,1,0,1
١٣٨٤/٠٤/٠٦,1,0,1
١٣٨٤/٠٤/٠٧,2,0,2
١٣٨٤/٠٤/٠٩,1,0,1
١٣٨٤/٠٤/١٣,2,0,2
١٣٨٤/٠٤/١٤,1,0,1
١٣٨٤/٠٤/١٧,1,0,1
١٣٨٤/٠٤/٢٢,1,0,1
١٣٨٤/٠٤/٢٣,2,0,2
١٣٨٤/٠٤/٢٧,2,0,2
١٣٨٤/٠٤/٢٨,1,0,1
١٣٨٤/٠٥/٠٢,1,0,1
١٣٨٤/٠٥/٠٨,2,0,2
١٣٨٤/٠٥/٠٩,1,0,1
١٣٨٤/٠٥/١٣,1,0,1
١٣٨٤/٠٥/١٥,1,0,1
١٣٨٤/٠٥/١٦,1,0,1
١٣٨٤/٠٥/١٩,1,0,1
١٣٨٤/٠٥/٢٠,1,0,1
١٣٨٤/٠٥/٢٢,1,0,1
١٣٨٤/٠٥/٢٣,1,0,1
١٣٨٤/٠٥/٢٤,1,0,1
١٣٨٤/٠٥/٣٠,1,0,1
١٣٨٤/٠٦/٠١,2,0,2
١٣٨٤/٠٦/٠٢,2,0,2
١٣٨٤/٠٦/٠٦,1,0,1
١٣٨٤/٠٦/٠٧,1,0,1
١٣٨٤/٠٦/٠٩,1,0,1
١٣٨٤/٠٦/١١,1,0,1
١٣٨٤/٠٦/١٢,1,0,1
١٣٨٤/٠٦/١٣,1,0,1
١٣٨٤/٠٦/١٨,1,0,1
١٣٨٤/٠٦/٢١,1,0,1
١٣٨٤/٠٦/٢٢,1,0,1
١٣٨٤/٠٦/٢٤,1,0,1
١٣٨٤/٠٦/٢٥,1,0,1
١٣٨٤/٠٦/٢٨,1,0,1
١٣٨٤/٠٧/٠١,2,0,2
١٣٨٤/٠٧/٠٥,1,0,1
١٣٨٤/٠٧/٠٧,2,0,2
١٣٨٤/٠٧/١١,4,0,4
١٣٨٤/٠٧/١٣,1,0,1
