violation_date,paid_violations,unpaid_violations
١٣٨٣/٠٨/١٧,1,0
١٣٨٣/٠٨/١٩,1,0
١٣٨٣/٠٨/٢١,1,0
١٣٨٣/٠٨/٢٢,1,0
١٣٨٣/٠٨/٢٣,1,0
١٣٨٣/٠٨/٢٦,2,0
١٣٨٣/٠٨/٢٧,1,0
١٣٨٣/٠٩/٠١,2,0
١٣٨٣/٠٩/٠٣,2,0
١٣٨٣/٠٩/٠٥,1,0
١٣٨٣/٠٩/١٤,1,0
١٣٨٣/٠٩/٢٣,1,0
١٣٨٣/٠٩/٢٥,1,0
١٣٨٣/٠٩/٢٧,1,0
١٣٨٣/٠٩/٢٨,2,0
١٣٨٣/٠٩/٢٩,1,0
١٣٨٣/١٠/٠١,1,0
١٣٨٣/١٠/٠٤,1,0
١٣٨٣/١٠/٠٩,1,0
١٣٨٣/١٠/١١,1,0
١٣٨٣/١٠/١٧,1,0
١٣٨٣/١٠/١٨,1,0
١٣٨٣/١٠/١٩,1,0
١٣٨٣/١٠/٢١,1,0
١٣٨٣/١٠/٢٥,1,0
١٣٨٣/١٠/٢٩,1,0
١٣٨٣/١١/٠٢,1,0
١٣٨٣/١١/٠٣,2,0
١٣٨٣/١١/١٠,2,0
١٣٨٣/١١/١١,1,0
١٣٨٣/١١/١٢,2,0
١٣٨٣/١١/١٣,1,0
١٣٨٣/١١/١٥,1,0
١٣٨٣/١١/٢٠,2,0
١٣٨٣/١١/٢٥,1,0
١٣٨٣/١١/٣٠,1,0
١٣٨٣/١٢/٠٥,1,0
١٣٨٣/١٢/٠٦,1,0
١٣٨٣/١٢/٠٧,1,0
١٣٨٣/١٢/٠٨,1,0
١٣٨٣/١٢/٠٩,1,0
١٣٨٣/١٢/١٣,1,0
١٣٨٣/١٢/١٤,1,0
١٣٨٣/١٢/١٥,2,0
١٣٨٣/١٢/١٧,3,0
١٣٨٣/١٢/٢٠,1,0
١٣٨٣/١٢/٢٢,1,0
١٣٨٣/١٢/٢٦,1,0
١٣٨٣/١٢/٢٧,1,0
١٣٨٣/١٢/٢٨,1,0
١٣٨٣/١٢/٢٩,1,0
١٣٨٤/٠١/٠٤,2,0
١٣٨٤/٠١/٠٥,1,0
١٣٨٤/٠١/٠٩,1,0
١٣٨٤/٠١/١٢,1,0
١٣٨٤/٠١/١٤,1,0
١٣٨٤/٠١/١٥,1,0
١٣٨٤/٠١/١٧,1,0
١٣٨٤/٠١/١٨,1,0
١٣٨٤/٠١/١٩,1,0
١٣٨٤/٠١/٢١,1,0
١٣٨٤/٠١/٢٣,1,0
١٣٨٤/٠١/٢٥,1,0
١٣٨٤/٠١/٢٨,1,0
١٣٨٤/٠١/٢٩,1,0
١٣٨٤/٠٢/٠٣,1,0
١٣٨٤/٠٢/٠٥,1,0
١٣٨٤/٠٢/٠٨,1,0
١٣٨٤/٠٢/١١,1,0
١٣٨٤/٠٢/١٢,2,0
١٣٨٤/٠٢/١٦,2,0
١٣٨٤/٠٢/١٨,1,0
١٣٨٤/٠٢/٢٢,1,0
١٣٨٤/٠٢/٢٤,1,0
١٣٨٤/٠٢/٢٦,2,0
١٣٨٤/٠٢/٢٨,1,0
١٣٨٤/٠٣/٠١,2,0
١٣٨٤/٠٣/٠٥,2,0
١٣٨٤/٠٣/٠٧,2,0
١٣٨٤/٠٣/٠٨,1,0
١٣٨٤/٠٣/١٢,2,0
١٣٨٤/٠٣/١٣,1,0
١٣٨٤/٠٣/١٦,2,0
١٣٨٤/٠٣/١٩,1,0
١٣٨٤/٠٣/٢٢,1,0
١٣٨٤/٠٣/٢٤,1,0
١٣٨٤/٠٣/٢٧,1,0
١٣٨٤/٠٣/٢٨,1,0
١٣٨٤/٠٤/٠٦,1,0
١٣٨٤/٠٤/٠٧,2,0
١٣٨٤/٠٤/٠٩,1,0
١٣٨٤/٠٤/١٣,2,0
١٣٨٤/٠٤/١٤,1,0
١٣٨٤/٠٤/١٧,1,0
١٣٨٤/٠٤/٢٢,1,0
١٣٨٤/٠٤/٢٣,2,0
١٣٨٤/٠٤/٢٧,2,0
١٣٨٤/٠٤/٢٨,1,0
١٣٨٤/٠٥/٠٢,1,0
١٣٨٤/٠٥/٠٨,2,0
١٣٨٤/٠٥/٠٩,1,0
١٣٨٤/٠٥/١٣,1,0
١٣٨٤/٠٥/١٥,1,0
١٣٨٤/٠٥/١٦,1,0
١٣٨٤/٠٥/١٩,1,0
١٣٨٤/٠٥/٢٠,1,0
١٣٨٤/٠٥/٢٢,1,0
١٣٨٤/٠٥/٢٣,1,0
١٣٨٤/٠٥/٢٤,1,0
١٣٨٤/٠٥/٣٠,1,0
١٣٨٤/٠٦/٠١,2,0
