city,gender,count,percentage
الباحة — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,168,48.7
الباحة — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,177,51.3
الخرج — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,111,50.23
الخرج — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,110,49.77
الدرعية — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,119,54.59
الدرعية — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,99,45.41
الرياض — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,113,48.71
الرياض — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,119,51.29
الوجه — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,122,52.59
الوجه — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,110,47.41
بلجرشي — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,191,54.73
بلجرشي — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,158,45.27
تبوك — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,115,46.94
تبوك — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,130,53.06
جازان — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,189,55.1
جازان — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,154,44.9
جدة — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,185,52.11
جدة — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,170,47.89
دومة الجندل — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,209,53.59
دومة الجندل — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,181,46.41
رفحاء — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,165,48.1
رفحاء — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,178,51.9
سكاكا — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,174,49.86
سكاكا — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,175,50.14
صبيا — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,141,42.86
صبيا — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,188,57.14
ضبا — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,109,49.77
ضبا — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,110,50.23
عرعر — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,198,51.43
عرعر — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,187,48.57
مكة المكرمة — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,143,44.14
مكة المكرمة — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,181,55.86
نجران — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,F,352,50.21
نجران — تسمية عربية مطولة لاختبار وضوح عرض الفئات في الرسم البياني,M,349,49.79
