death_date,death_count,hijri_year
2024-01-01,40,1445
2024-01-02,49,1445
2024-01-03,45,1445
2024-01-04,40,1445
2024-01-05,52,1445
2024-01-06,36,1445
2024-01-07,49,1445
2024-01-08,40,1445
2024-01-09,48,1445
2024-01-10,52,1445
2024-01-11,54,1445
2024-01-12,48,1445
2024-01-13,45,1445
2024-01-14,59,1445
2024-01-15,41,1445
2024-01-16,47,1445
2024-01-17,43,1445
2024-01-18,54,1445
2024-01-19,54,1445
2024-01-20,52,1445
2024-01-21,45,1445
2024-01-22,47,1445
2024-01-23,59,1445
2024-01-24,45,1445
2024-01-25,45,1445
2024-01-26,47,1445
2024-01-27,55,1445
2024-01-28,54,1445
2024-01-29,41,1445
2024-01-30,53,1445
2024-01-31,48,1445
2024-02-01,46,1445
2024-02-02,48,1445
2024-02-03,44,1445
2024-02-04,47,1445
2024-02-05,43,1445
2024-02-06,41,1445
2024-02-07,48,1445
2024-02-08,62,1445
2024-02-09,48,1445
2024-02-10,37,1445
2024-02-11,50,1445
2024-02-12,43,1445
2024-02-13,58,1445
2024-02-14,58,1445
2024-02-15,53,1445
2024-02-16,50,1445
2024-02-17,45,1445
2024-02-18,45,1445
2024-02-19,56,1445
2024-02-20,54,1445
2024-02-21,53,1445
2024-02-22,37,1445
2024-02-23,49,1445
2024-02-24,45,1445
2024-02-25,43,1445
2024-02-26,48,1445
2024-02-27,41,1445
2024-02-28,41,1445
2024-02-29,37,1445
2024-03-01,48,1445
2024-03-02,54,1445
2024-03-03,47,1445
2024-03-04,41,1445
2024-03-05,47,1445
2024-03-06,50,1445
2024-03-07,52,1445
2024-03-08,39,1445
2024-03-09,46,1445
2024-03-10,36,1445
2024-03-11,37,1445
2024-03-12,53,1445
2024-03-13,50,1445
2024-03-14,36,1445
2024-03-15,51,1445
2024-03-16,52,1445
2024-03-17,43,1445
2024-03-18,48,1445
2024-03-19,57,1445
2024-03-20,50,1445
2024-03-21,42,1445
2024-03-22,60,1445
2024-03-23,48,1445
2024-03-24,48,1445
2024-03-25,47,1445
2024-03-26,69,1445
2024-03-27,57,1445
2024-03-28,45,1445
2024-03-29,41,1445
2024-03-30,45,1445
2024-03-31,51,1445
2024-04-01,52,1445
2024-04-02,50,1445
2024-04-03,53,1445
2024-04-04,53,1445
2024-04-05,51,1445
2024-04-06,44,1445
2024-04-07,43,1445
2024-04-08,55,1445
2024-04-09,36,1445
2024-04-10,45,1445
2024-04-11,42,1445
2024-04-12,53,1445
2024-04-13,43,1445
2024-04-14,60,1445
2024-04-15,48,1445
2024-04-16,49,1445
2024-04-17,51,1445
2024-04-18,44,1445
2024-04-19,42,1445
2024-04-20,38,1445
2024-04-21,56,1445
2024-04-22,50,1445
2024-04-23,48,1445
2024-04-24,58,1445
2024-04-25,45,1445
2024-04-26,43,1445
2024-04-27,51,1445
2024-04-28,52,1445
2024-04-29,43,1445
2024-04-30,54,1445
2024-05-01,56,1445
2024-05-02,53,1445
2024-05-03,41,1445
2024-05-04,47,1445
2024-05-05,48,1445
2024-05-06,54,1445
2024-05-07,49,1445
2024-05-08,46,1445
2024-05-09,41,1445
2024-05-10,48,1445
2024-05-11,59,1445
2024-05-12,65,1445
2024-05-13,46,1445
2024-05-14,54,1445
2024-05-15,61,1445
2024-05-16,51,1445
2024-05-17,29,1445
2024-05-18,55,1445
2024-05-19,47,1445
2024-05-20,54,1445
2024-05-21,54,1445
2024-05-22,54,1445
2024-05-23,45,1445
2024-05-24,50,1445
2024-05-25,49,1445
2024-05-26,36,1445
2024-05-27,46,1445
2024-05-28,69,1445
2024-05-29,54,1445
2024-05-30,60,1445
2024-05-31,50,1445
2024-06-01,40,1445
2024-06-02,39,1445
2024-06-03,57,1445
2024-06-04,39,1445
2024-06-05,42,1445
2024-06-06,60,1445
2024-06-07,53,1445
2024-06-08,44,1445
2024-06-09,37,1445
2024-06-10,46,1445
2024-06-11,51,1445
2024-06-12,38,1445
2024-06-13,53,1445
2024-06-14,50,1445
2024-06-15,57,1445
2024-06-16,52,1445
2024-06-17,47,1445
2024-06-18,52,1445
2024-06-19,42,1445
2024-06-20,43,1445
2024-06-21,54,1445
2024-06-22,46,1445
2024-06-23,50,1445
2024-06-24,42,1445
2024-06-25,62,1445
2024-06-26,41,1445
2024-06-27,63,1445
2024-06-28,45,1445
2024-06-29,48,1445
2024-06-30,51,1445
2024-07-01,54,1445
2024-07-02,58,1445
2024-07-03,47,1445
2024-07-04,49,1445
2024-07-05,45,1445
2024-07-06,52,1445
2024-07-07,51,1446
2024-07-08,60,1446
2024-07-09,51,1446
2024-07-10,49,1446
2024-07-11,49,1446
2024-07-12,41,1446
2024-07-13,44,1446
2024-07-14,41,1446
2024-07-15,36,1446
2024-07-16,63,1446
2024-07-17,48,1446
2024-07-18,47,1446
2024-07-19,57,1446
2024-07-20,61,1446
2024-07-21,50,1446
2024-07-22,55,1446
2024-07-23,44,1446
2024-07-24,39,1446
2024-07-25,42,1446
2024-07-26,59,1446
2024-07-27,47,1446
2024-07-28,62,1446
2024-07-29,49,1446
2024-07-30,67,1446
2024-07-31,59,1446
2024-08-01,51,1446
2024-08-02,46,1446
2024-08-03,62,1446
2024-08-04,47,1446
2024-08-05,52,1446
2024-08-06,48,1446
2024-08-07,46,1446
2024-08-08,53,1446
2024-08-09,53,1446
2024-08-10,48,1446
2024-08-11,55,1446
2024-08-12,60,1446
2024-08-13,47,1446
2024-08-14,52,1446
2024-08-15,47,1446
2024-08-16,54,1446
2024-08-17,58,1446
2024-08-18,49,1446
2024-08-19,57,1446
2024-08-20,57,1446
2024-08-21,47,1446
2024-08-22,65,1446
2024-08-23,52,1446
2024-08-24,38,1446
2024-08-25,51,1446
2024-08-26,50,1446
2024-08-27,57,1446
2024-08-28,37,1446
2024-08-29,59,1446
2024-08-30,56,1446
2024-08-31,57,1446
2024-09-01,65,1446
2024-09-02,60,1446
2024-09-03,49,1446
2024-09-04,50,1446
2024-09-05,43,1446
2024-09-06,44,1446
2024-09-07,54,1446
2024-09-08,55,1446
2024-09-09,66,1446
2024-09-10,51,1446
2024-09-11,59,1446
2024-09-12,58,1446
2024-09-13,61,1446
2024-09-14,49,1446
2024-09-15,58,1446
2024-09-16,66,1446
2024-09-17,52,1446
2024-09-18,48,1446
2024-09-19,66,1446
2024-09-20,54,1446
2024-09-21,55,1446
2024-09-22,61,1446
2024-09-23,45,1446
2024-09-24,51,1446
2024-09-25,49,1446
2024-09-26,52,1446
2024-09-27,65,1446
2024-09-28,47,1446
2024-09-29,50,1446
2024-09-30,64,1446
2024-10-01,61,1446
2024-10-02,44,1446
2024-10-03,55,1446
2024-10-04,52,1446
2024-10-05,54,1446
2024-10-06,59,1446
2024-10-07,46,1446
2024-10-08,51,1446
2024-10-09,65,1446
2024-10-10,57,1446
2024-10-11,72,1446
2024-10-12,43,1446
2024-10-13,45,1446
2024-10-14,53,1446
2024-10-15,72,1446
2024-10-16,45,1446
2024-10-17,72,1446
2024-10-18,63,1446
2024-10-19,56,1446
2024-10-20,44,1446
2024-10-21,54,1446
2024-10-22,48,1446
2024-10-23,53,1446
2024-10-24,61,1446
2024-10-25,54,1446
2024-10-26,65,1446
2024-10-27,58,1446
2024-10-28,43,1446
2024-10-29,62,1446
2024-10-30,68,1446
2024-10-31,55,1446
2024-11-01,70,1446
2024-11-02,62,1446
2024-11-03,40,1446
2024-11-04,48,1446
2024-11-05,59,1446
2024-11-06,57,1446
2024-11-07,50,1446
2024-11-08,64,1446
2024-11-09,63,1446
2024-11-10,68,1446
2024-11-11,50,1446
2024-11-12,61,1446
2024-11-13,57,1446
2024-11-14,43,1446
2024-11-15,49,1446
2024-11-16,65,1446
2024-11-17,49,1446
2024-11-18,58,1446
2024-11-19,60,1446
2024-11-20,39,1446
2024-11-21,51,1446
2024-11-22,55,1446
2024-11-23,54,1446
2024-11-24,51,1446
2024-11-25,62,1446
2024-11-26,71,1446
2024-11-27,49,1446
2024-11-28,46,1446
2024-11-29,58,1446
2024-11-30,48,1446
2024-12-01,58,1446
2024-12-02,53,1446
2024-12-03,57,1446
2024-12-04,54,1446
2024-12-05,54,1446
2024-12-06,60,1446
2024-12-07,52,1446
2024-12-08,55,1446
2024-12-09,49,1446
2024-12-10,60,1446
2024-12-11,60,1446
2024-12-12,62,1446
2024-12-13,51,1446
2024-12-14,59,1446
2024-12-15,51,1446
2024-12-16,61,1446
2024-12-17,52,1446
2024-12-18,55,1446
2024-12-19,55,1446
2024-12-20,59,1446
2024-12-21,67,1446
2024-12-22,61,1446
2024-12-23,52,1446
2024-12-24,50,1446
2024-12-25,71,1446
2024-12-26,62,1446
2024-12-27,51,1446
2024-12-28,48,1446
2024-12-29,54,1446
2024-12-30,53,1446
2024-12-31,60,1446
