المدينة,الشهر,المصابون,الوفيات
جدة,2025-01,142,8
جدة,2025-02,135,7
جدة,2025-03,158,10
جدة,2025-04,149,9
جدة,2025-05,163,11
جدة,2025-06,171,12
جدة,2025-07,155,9
جدة,2025-08,147,8
جدة,2025-09,139,7
جدة,2025-10,131,6
جدة,2025-11,126,7
جدة,2025-12,138,8
الرياض,2025-01,214,13
الرياض,2025-02,206,12
الرياض,2025-03,229,15
الرياض,2025-04,218,14
الرياض,2025-05,235,16
الرياض,2025-06,241,17
الرياض,2025-07,226,14
الرياض,2025-08,219,13
الرياض,2025-09,207,12
الرياض,2025-10,198,11
الرياض,2025-11,191,10
الرياض,2025-12,203,12
الدمام,2025-01,83,5
الدمام,2025-02,79,4
الدمام,2025-03,92,6
الدمام,2025-04,88,5
الدمام,2025-05,96,7
الدمام,2025-06,101,6
الدمام,2025-07,93,5
الدمام,2025-08,86,4
الدمام,2025-09,82,5
الدمام,2025-10,77,3
الدمام,2025-11,74,4
الدمام,2025-12,81,5
