store_id,district,city
ST001,Al Olaya,Riyadh
ST002,Al Malaz,Riyadh
ST003,Al Narjis,Riyadh
ST004,Al Yasmin,Riyadh
ST005,Al Sahafah,Riyadh
ST006,Al Aqiq,Riyadh
ST007,Hittin,Riyadh
ST008,Al Nakheel,Riyadh
ST009,Al Muruj,Riyadh
ST010,Al Sulimaniyah,Riyadh
ST011,Al Wurud,Riyadh
ST012,Al Rawdah,Riyadh
ST013,Al Hamra,Riyadh
ST014,Al Quds,Riyadh
ST015,Al Andaloos,Riyadh
ST016,Al Yarmuk,Riyadh
ST017,Ishbiliyah,Riyadh
ST018,Qurtubah,Riyadh
ST019,Al Munsiyah,Riyadh
ST020,Al Rimal,Riyadh
ST021,Al Qadisiyah,Riyadh
ST022,Al Khaleej,Riyadh
ST023,Al Nahdah,Riyadh
ST024,Al Naseem,Riyadh
ST025,Al Rabwah,Riyadh
ST026,Al Rayyan,Riyadh
ST027,Al Ruwabi,Riyadh
ST028,Al Shifa,Riyadh
ST029,Badr,Riyadh
ST030,Al Aziziyah,Riyadh
ST031,Al Olaya,Riyadh
ST032,Al Malaz,Riyadh
ST033,Al Narjis,Riyadh
ST034,Al Yasmin,Riyadh
ST035,Al Sahafah,Riyadh
ST036,Al Aqiq,Riyadh
ST037,Hittin,Riyadh
ST038,Al Nakheel,Riyadh
ST039,Al Muruj,Riyadh
ST040,Al Sulimaniyah,Riyadh
