nationality,port,entry_count,total_entries,percentage
ياباني,مطار الملك خالد الدولي (الرياض),16090,31614,50.90
صيني,مطار الملك خالد الدولي (الرياض),15756,31568,49.91
ألماني,مطار الملك خالد الدولي (الرياض),16044,31548,50.86
بحريني,مطار الملك خالد الدولي (الرياض),15987,31431,50.86
كويتي,مطار الملك خالد الدولي (الرياض),15911,31417,50.64
عماني,مطار الملك خالد الدولي (الرياض),15834,31237,50.69
بريطاني,مطار الملك خالد الدولي (الرياض),15681,30897,50.75
اردني,مطار الملك خالد الدولي (الرياض),15563,30809,50.51
إيطالي,مطار الملك خالد الدولي (الرياض),15856,30793,51.49
ليبي,مطار الملك خالد الدولي (الرياض),15860,30791,51.51
