id,gender,wealth_level
1181956918,F,Lower Middle
1214412599,F,Upper Middle
1840470837,F,Poor
1988028844,F,Poor
1520213994,F,Lower Middle
1875759844,F,Middle
1087034556,F,Upper Middle
1791353746,F,Rich
1557083096,F,Middle
1350689583,F,Upper Middle
1714955785,F,Upper Middle
1231456549,F,Rich
1178528454,F,Middle
1232673115,F,Poor
1062674706,F,Middle
1990516831,F,Middle
1937239736,F,Poor
1259140986,F,Middle
1680293483,F,Poor
1663191024,F,Middle
1506210284,F,Upper Middle
1273617988,F,Lower Middle
1659328057,F,Lower Middle
1612628959,F,Poor
1693948451,F,Lower Middle
1118539719,F,Lower Middle
1450460831,F,Middle
1028207213,F,Upper Middle
1691190039,F,Rich
1140051551,F,Poor
1971099675,F,Middle
1353442535,F,Middle
1210891975,F,Rich
1678512047,F,Lower Middle
1993159477,F,Rich
1534914355,F,Middle
1602472793,F,Poor
1967352412,F,Upper Middle
1335658606,F,Lower Middle
1206416964,F,Lower Middle
1210408656,F,Rich
1265495960,F,Lower Middle
1504962363,F,Lower Middle
1122146090,F,Poor
1207848538,F,Rich
1267154693,F,Upper Middle
1361988030,F,Poor
1503250416,F,Rich
1471271552,F,Middle
1757076563,F,Middle
1240544415,F,Poor
1937325227,F,Rich
1017418442,F,Lower Middle
1042742352,F,Middle
1211289252,F,Middle
1940902904,F,Rich
1428108535,F,Middle
1123204508,F,Rich
1357662320,F,Rich
1613467817,F,Lower Middle
1110077468,F,Poor
1881357556,F,Poor
1390619515,F,Rich
1003366717,F,Lower Middle
1102401419,F,Upper Middle
1622898589,F,Lower Middle
1174359363,F,Poor
1737990527,F,Upper Middle
1241559275,F,Upper Middle
1373360550,F,Middle
1928244475,F,Upper Middle
1930185207,F,Poor
1700561724,F,Poor
1060596537,F,Poor
1705244382,F,Upper Middle
1138031239,F,Middle
1419068646,F,Rich
1918207194,F,Middle
1991884609,F,Lower Middle
1317790618,F,Rich
1875062764,F,Lower Middle
1172362291,F,Rich
1933489664,F,Middle
1140195235,F,Middle
1879595130,F,Upper Middle
1116406503,F,Rich
1709419346,F,Upper Middle
1126833320,F,Poor
1336135445,F,Lower Middle
1059987555,F,Middle
1191644735,F,Lower Middle
1648206531,F,Upper Middle
1983086819,F,Middle
1048816463,F,Middle
1177416743,F,Poor
1073417267,F,Middle
1193930173,F,Upper Middle
1754710053,F,Poor
1774607868,F,Middle
1019511994,F,Middle
1552134950,F,Rich
1769902325,F,Lower Middle
1357712322,F,Middle
1022104128,F,Poor
1947101271,F,Middle
1856191441,F,Lower Middle
1395710648,F,Poor
1804735299,F,Lower Middle
1737066423,F,Rich
1162230956,F,Upper Middle
1999049577,F,Lower Middle
1845607625,F,Middle
1180338282,F,Middle
1128319120,F,Upper Middle
1302606739,F,Rich
1182974713,F,Rich
1223319693,F,Poor
1121313906,F,Poor
1582409536,F,Upper Middle
1629749999,F,Lower Middle
1180226231,F,Middle
1731818954,F,Middle
1954422206,F,Poor
1110903665,F,Upper Middle
1677138501,F,Poor
1738409416,F,Middle
1187817292,F,Poor
1315651642,F,Rich
1438319746,F,Middle
1498969477,F,Rich
1255414368,F,Middle
1541804984,F,Rich
1574280228,F,Poor
1486955821,F,Rich
1824537796,F,Rich
1071167752,F,Middle
1356493464,F,Upper Middle
1412914522,F,Rich
1789731101,F,Poor
1513717592,F,Poor
1041442930,F,Poor
1750931114,F,Upper Middle
1264786171,F,Middle
1107474494,F,Lower Middle
1843652184,F,Lower Middle
1016726085,F,Upper Middle
1477752656,F,Upper Middle
1442188108,F,Lower Middle
1056643266,F,Poor
1377551887,F,Middle
1359840671,F,Rich
1243496769,F,Upper Middle
1542066348,F,Middle
1653497304,F,Rich
1743698809,F,Poor
1131547081,F,Upper Middle
1492954737,F,Lower Middle
1417437064,F,Lower Middle
1887962835,F,Rich
1343357227,F,Rich
1133084257,F,Poor
1785525846,F,Upper Middle
1307490490,F,Middle
1641634495,F,Poor
1984748958,F,Lower Middle
1332790772,F,Upper Middle
1342602874,F,Upper Middle
1424383134,F,Middle
1234262087,F,Rich
1945482921,F,Rich
1645767113,F,Poor
1585045248,F,Lower Middle
1504164364,F,Poor
1091727527,F,Upper Middle
1247784486,F,Lower Middle
1977623541,F,Rich
1841149929,F,Rich
1211570062,F,Upper Middle
1653555694,F,Rich
1404335658,F,Upper Middle
1070347217,F,Rich
1548519954,F,Lower Middle
1911790735,F,Rich
1812756813,F,Lower Middle
1938439399,F,Rich
1753833058,F,Middle
1311718137,F,Middle
1844335375,F,Middle
1506247569,F,Middle
1080801232,F,Poor
1757329074,F,Poor
1341431320,F,Lower Middle
1287033284,F,Lower Middle
1459726354,F,Lower Middle
1703910791,F,Upper Middle
1892223315,F,Upper Middle
1068182554,F,Rich
1426137399,F,Poor
1515229077,F,Poor
1047189266,F,Rich
1741751468,F,Lower Middle
1045179375,F,Middle
1223977211,F,Middle
1859595651,F,Rich
1807305118,F,Poor
1768666955,F,Middle
1365534183,F,Lower Middle
1041482427,F,Upper Middle
1787935132,F,Middle
1971428071,F,Poor
1419200714,F,Upper Middle
1209158364,F,Rich
1507194473,F,Rich
1354019439,F,Upper Middle
1048525560,F,Upper Middle
1077233897,F,Lower Middle
1975453575,F,Lower Middle
1890204496,F,Middle
1438726474,F,Lower Middle
1913609215,F,Lower Middle
1695093948,F,Rich
1573415535,F,Middle
1000277344,F,Middle
1700936713,F,Poor
1364317710,F,Rich
1137088323,F,Upper Middle
1253867714,F,Lower Middle
1508582850,F,Poor
1878993614,F,Rich
1447947598,F,Upper Middle
1698853419,F,Lower Middle
1349421360,F,Middle
1738347826,F,Upper Middle
1923220314,F,Rich
1682489567,F,Lower Middle
1550795597,F,Rich
1745173267,F,Poor
1840269724,F,Poor
1012256370,F,Lower Middle
1279743723,F,Upper Middle
1009355972,F,Poor
1333382309,F,Poor
1672218452,F,Upper Middle
