city,district,wealth_level,count,wkt
مكة المكرمة,النزهة,Upper Middle,1067,"POLYGON ((39.58091 21.533855, 39.557519 21.519641, 39.54655 21.537692, 39.56994 21.551906, 39.58091 21.533855))"
الوجه,حي البلد,Rich,2241,"POLYGON ((36.463436 26.23227, 36.464083 26.23113, 36.465485 26.231026, 36.465811 26.230902, 36.465825 26.230661, 36.460267 26.227986, 36.460861 26.227494, 36.458501 26.224686, 36.45718 26.224436, 36.456048 26.22467, 36.45409 26.228233, 36.463251 26.232558, 36.463436 26.23227))"
دومة الجندل,الوادي,Middle,3197,"POLYGON ((39.883966 29.839064, 39.887481 29.837613, 39.889927 29.834655, 39.888914 29.832183, 39.879853 29.825226, 39.878372 29.825846, 39.878718 29.828326, 39.87865 29.829578, 39.879799 29.829898, 39.880009 29.830739, 39.880772 29.831908, 39.881124 29.835221, 39.878749 29.836171, 39.876978 29.837993, 39.875065 29.838685, 39.873489 29.839766, 39.872782 29.841239, 39.872416 29.843884, 39.883966 29.839064))"
الوجه,حي البلد,Upper Middle,2193,"POLYGON ((36.463436 26.23227, 36.464083 26.23113, 36.465485 26.231026, 36.465811 26.230902, 36.465825 26.230661, 36.460267 26.227986, 36.460861 26.227494, 36.458501 26.224686, 36.45718 26.224436, 36.456048 26.22467, 36.45409 26.228233, 36.463251 26.232558, 36.463436 26.23227))"
نجران,الصناعية,Upper Middle,4312,"POLYGON ((44.340739 17.597058, 44.341126 17.596982, 44.34134 17.59722, 44.342494 17.596883, 44.342542 17.596447, 44.345433 17.597059, 44.345548 17.597409, 44.346767 17.596749, 44.346951 17.596957, 44.347776 17.596544, 44.348365 17.595475, 44.347219 17.594774, 44.352381 17.585537, 44.35144 17.585098, 44.351813 17.58441, 44.34908 17.582889, 44.336225 17.574821, 44.335028 17.598683, 44.335315 17.600172, 44.335775 17.601078, 44.336011 17.601176, 44.338449 17.601011, 44.339031 17.599653, 44.339982 17.599268, 44.339598 17.59795, 44.339659 17.597522, 44.340739 17.597058))"
بلجرشي,الاحد,Upper Middle,3285,"POLYGON ((41.533139 19.679932, 41.533776 19.679462, 41.533942 19.6796, 41.534414 19.6791, 41.53469 19.678463, 41.534759 19.677773, 41.532339 19.677473, 41.532139 19.678901, 41.533139 19.679932))"
نجران,الصناعية,Rich,4403,"POLYGON ((44.340739 17.597058, 44.341126 17.596982, 44.34134 17.59722, 44.342494 17.596883, 44.342542 17.596447, 44.345433 17.597059, 44.345548 17.597409, 44.346767 17.596749, 44.346951 17.596957, 44.347776 17.596544, 44.348365 17.595475, 44.347219 17.594774, 44.352381 17.585537, 44.35144 17.585098, 44.351813 17.58441, 44.34908 17.582889, 44.336225 17.574821, 44.335028 17.598683, 44.335315 17.600172, 44.335775 17.601078, 44.336011 17.601176, 44.338449 17.601011, 44.339031 17.599653, 44.339982 17.599268, 44.339598 17.59795, 44.339659 17.597522, 44.340739 17.597058))"
جدة,البلد,Lower Middle,784,"POLYGON ((39.181054 21.487758, 39.181496 21.488707, 39.18256 21.490047, 39.183707 21.489797, 39.184994 21.489844, 39.18613 21.490801, 39.186543 21.490951, 39.187048 21.490837, 39.189372 21.492473, 39.189408 21.489618, 39.190644 21.487105, 39.192374 21.485599, 39.192656 21.484449, 39.192344 21.483859, 39.191565 21.483001, 39.190015 21.481571, 39.188634 21.481466, 39.18531 21.480672, 39.183935 21.480748, 39.183396 21.481468, 39.182576 21.481794, 39.182462 21.48131, 39.181259 21.481632, 39.181763 21.484313, 39.181054 21.487758))"
جدة,البلد,Lower Middle,784,"POLYGON ((39.180898 21.487582, 39.181026 21.487727, 39.181747 21.484679, 39.181715 21.483806, 39.181259 21.481632, 39.182462 21.48131, 39.182576 21.481794, 39.183396 21.481468, 39.183954 21.480744, 39.18531 21.480672, 39.188634 21.481466, 39.189568 21.48146, 39.190192 21.481651, 39.192552 21.484172, 39.192694 21.484603, 39.192375 21.485598, 39.19508 21.484825, 39.197432 21.484671, 39.199706 21.485445, 39.199817 21.484313, 39.199652 21.483132, 39.199068 21.48177, 39.197913 21.48043, 39.196097 21.479263, 39.194221 21.478466, 39.189907 21.477463, 39.176591 21.476683, 39.176296 21.480411, 39.176856 21.481013, 39.176884 21.480779, 39.177198 21.480856, 39.177863 21.482068, 39.178386 21.48236, 39.178253 21.483992, 39.178538 21.484156, 39.179094 21.485965, 39.180411 21.486925, 39.180898 21.487582))"
سكاكا,البستان,Upper Middle,2289,"POLYGON ((40.237244 29.913744, 40.2191 29.909183, 40.222011 29.92266, 40.223827 29.929357, 40.233683 29.926136, 40.232733 29.929026, 40.238033 29.93031, 40.23963 29.925506, 40.240565 29.923223, 40.245577 29.925558, 40.247947 29.922061, 40.236717 29.916987, 40.237743 29.91387, 40.237244 29.913744))"
مكة المكرمة,الشرائع,Middle,1098,"POLYGON ((40.083462 21.495338, 40.082927 21.49425, 40.081549 21.494928, 40.081747 21.495331, 40.083462 21.495338))"
ضبا,الطلعة الشمالية,Poor,2187,"POLYGON ((35.161512 28.074252, 35.151521 28.059876, 35.149671 28.062289, 35.146699 28.068184, 35.144917 28.068892, 35.144174 28.069003, 35.147263 28.07652, 35.150376 28.080077, 35.155268 28.082456, 35.158523 28.081733, 35.161302 28.080876, 35.162578 28.07823, 35.161512 28.074252))"
الرياض,الياسمين,Rich,426,"POLYGON ((46.66009 24.829609, 46.669843 24.810265, 46.651878 24.802708, 46.643603 24.819123, 46.62239 24.810188, 46.614113 24.826583, 46.653287 24.843064, 46.66009 24.829609))"
مكة المكرمة,النزهة,Poor,1149,"POLYGON ((39.58091 21.533855, 39.557519 21.519641, 39.54655 21.537692, 39.56994 21.551906, 39.58091 21.533855))"
الرياض,الياسمين,Upper Middle,410,"POLYGON ((46.66009 24.829609, 46.669843 24.810265, 46.651878 24.802708, 46.643603 24.819123, 46.62239 24.810188, 46.614113 24.826583, 46.653287 24.843064, 46.66009 24.829609))"
دومة الجندل,الوادي,Upper Middle,3218,"POLYGON ((39.883966 29.839064, 39.887481 29.837613, 39.889927 29.834655, 39.888914 29.832183, 39.879853 29.825226, 39.878372 29.825846, 39.878718 29.828326, 39.87865 29.829578, 39.879799 29.829898, 39.880009 29.830739, 39.880772 29.831908, 39.881124 29.835221, 39.878749 29.836171, 39.876978 29.837993, 39.875065 29.838685, 39.873489 29.839766, 39.872782 29.841239, 39.872416 29.843884, 39.883966 29.839064))"
الرياض,الياسمين,Poor,457,"POLYGON ((46.66009 24.829609, 46.669843 24.810265, 46.651878 24.802708, 46.643603 24.819123, 46.62239 24.810188, 46.614113 24.826583, 46.653287 24.843064, 46.66009 24.829609))"
