control_number,sequence_number,violator_id,status_description,gdate_happened,gdate_paid,original_fine,actual_fine,is_discounted,violation_type_description,registry_location,vehicle_make,vehicle_model,district,city,region,person_type
102253799,5,1644530409,Issued to violator but un-paid,2026-02-02 00:45:34+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,تويوتا,اف جي كروزر,أبحر الشمالية,جدة,منطقة مكة المكرمة,Saudi
100925051,8,1644530409,Issued to violator but un-paid,2026-02-01 21:26:11+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,تويوتا,اف جي كروزر,الروضة,جازان,منطقة جازان,Saudi
103163980,1,1539210380,Issued to violator but un-paid,2026-02-01 19:40:15+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,نيسان,نافارا,حي العوالي,مكة المكرمة,منطقة مكة المكرمة,Saudi
102218740,5,2928458159,Issued to violator but un-paid,2026-02-01 19:02:18+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,مرسيدس بنز,مرسيدس بنز E-Class,حي المسفلة,مكة المكرمة,منطقة مكة المكرمة,Alien
101571189,9,1131669258,Issued to violator but un-paid,2026-02-01 16:28:49+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,تويوتا,كامري,الشرائع,مكة المكرمة,منطقة مكة المكرمة,Saudi
102218740,10,2460224124,Issued to violator but un-paid,2026-02-01 15:17:09+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,هيونداي,أكسنت,النزهة,مكة المكرمة,منطقة مكة المكرمة,Alien
102253799,8,2155120905,Issued to violator but un-paid,2026-02-01 12:37:23+00:00,,150,150,True,عدم ربط حزام,مرور مكه المكرمه,هوندا,هوندا CR-V,الشاطئ,جدة,منطقة مكة المكرمة,Alien
100925051,1,2105468141,Issued to violator but un-paid,2026-02-01 10:46:26+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,نيسان,نافارا,الزهراء,الباحة,منطقة الباحة,Alien
100925051,4,1672559372,Issued to violator but un-paid,2026-02-01 09:08:27+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,بي إم دبليو,بي إم دبليو 3 Series,الطويريق,رفحاء,الحدود الشمالية,Saudi
101571189,4,2076335472,Issued to violator but un-paid,2026-02-01 08:47:42+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,نيسان,ألتيما,الصفرات,الدرعية,منطقة الرياض,Alien
101571189,9,1484132175,Issued to violator but un-paid,2026-02-01 07:32:18+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الحاير,بي إم دبليو,بي إم دبليو 3 Series,الروضة,جازان,منطقة جازان,Saudi
101571189,9,2237081483,Issued to violator but un-paid,2026-02-01 03:22:04+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,تويوتا,اف جي كروزر,العين,الدرعية,منطقة الرياض,Alien
102218740,10,2814158735,Issued to violator but un-paid,2026-02-01 00:22:40+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور المدينة المنورة,شيفروليه,تاهو,الصناعية,نجران,منطقة نجران,Alien
100925051,10,2688224635,Issued to violator but un-paid,2026-02-01 00:16:30+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,كيا,ريو,الصناعية,نجران,منطقة نجران,Alien
101571189,6,1760545968,Issued to violator but un-paid,2026-02-01 00:01:59+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الحاير,هوندا,هوندا سيفيك,حى الصناعية الجديدة,عرعر,الحدود الشمالية,Saudi
102218740,7,2949817665,Issued to violator but un-paid,2026-01-31 23:13:13+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,هوندا,هوندا سيفيك,الطلعة الشمالية,ضبا,منطقة تبوك,Alien
102253799,2,1713558756,Issued to violator but un-paid,2026-01-31 20:30:56+00:00,,150,150,True,عدم ربط حزام,مرور المدينة المنورة,هيونداي,أكسنت,الرحاب 2,تبوك,منطقة تبوك,Saudi
102253799,8,2155120905,Issued to violator but un-paid,2026-01-31 17:31:50+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,هوندا,هوندا CR-V,الفلاح,تبوك,منطقة تبوك,Alien
103163980,6,2986588941,Issued to violator but un-paid,2026-01-31 14:36:54+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,تويوتا,كامري,حي البلد,الوجه,منطقة تبوك,Alien
102253799,7,1135098887,Issued to violator but un-paid,2026-01-31 14:34:58+00:00,,150,150,True,عدم ربط حزام,مرور حفرالباطن,هوندا,هوندا سيفيك,الخالدية,صبيا,منطقة جازان,Saudi
101571189,9,1895430930,Issued to violator but un-paid,2026-01-31 09:20:23+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور مكه المكرمه,تويوتا,راش,الصناعية,نجران,منطقة نجران,Saudi
102253799,3,1644530409,Issued to violator but un-paid,2026-01-31 06:28:25+00:00,,150,150,False,عدم ربط حزام,مرور الحاير,تويوتا,اف جي كروزر,الفرسان,الدرعية,منطقة الرياض,Saudi
101571189,8,1437527213,Issued to violator but un-paid,2026-01-31 05:35:00+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,هوندا,هوندا سيفيك,حى الفيصلية,رفحاء,الحدود الشمالية,Saudi
102253799,4,2497597499,Issued to violator but un-paid,2026-01-31 04:14:52+00:00,,150,150,False,عدم ربط حزام,مرور الحاير,تويوتا,كروزر,العزيزية,الخرج,منطقة الرياض,Alien
103163980,2,2094704043,Issued to violator but un-paid,2026-01-31 01:40:34+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,جيب,رانجلر,الطويريق,رفحاء,الحدود الشمالية,Alien
101571189,2,2484052992,Issued to violator but un-paid,2026-01-31 01:37:45+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,جيب,رانجلر,الحشو,بلجرشي,منطقة الباحة,Alien
101571189,6,1680573126,Issued to violator but un-paid,2026-01-30 20:38:33+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,ميتسوبيشي,باجيرو,الصناعية,نجران,منطقة نجران,Saudi
102253799,1,1382837838,Issued to violator but un-paid,2026-01-30 20:35:36+00:00,,150,150,False,عدم ربط حزام,مرور مكه المكرمه,نيسان,نافارا,الشاطئ,جدة,منطقة مكة المكرمة,Saudi
102253799,4,1365973140,Issued to violator but un-paid,2026-01-30 20:19:16+00:00,,150,150,False,عدم ربط حزام,مرور الناصرية,مرسيدس بنز,مرسيدس بنز G-Class,الحشو,بلجرشي,منطقة الباحة,Saudi
102253799,10,2865859750,Issued to violator but un-paid,2026-01-30 20:02:49+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,كيا,كارينز,الصناعية,نجران,منطقة نجران,Alien
100925051,4,2817231573,Issued to violator but un-paid,2026-01-30 18:24:43+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,نيسان,صني,الفيصلية,نجران,منطقة نجران,Alien
103163980,7,1274923405,Issued to violator but un-paid,2026-01-30 16:58:10+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,تويوتا,اف جي كروزر,العين,الدرعية,منطقة الرياض,Saudi
101571189,5,1321775559,Issued to violator but un-paid,2026-01-30 16:08:36+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,ميتسوبيشي,لانسر,حي البلد,الوجه,منطقة تبوك,Saudi
103163980,3,1559575474,Issued to violator but un-paid,2026-01-30 14:22:39+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,جي إم سي,يوكون,النزهة,دومة الجندل,منطقة الجوف,Saudi
102253799,7,1895430930,Issued to violator but un-paid,2026-01-30 14:06:30+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,تويوتا,راش,النجيل,ضبا,منطقة تبوك,Saudi
102218740,9,2511916942,Issued to violator but un-paid,2026-01-30 13:39:10+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,نيسان,باترول,العزيزية,الخرج,منطقة الرياض,Alien
100925051,4,2169653771,Issued to violator but un-paid,2026-01-30 04:56:47+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,هيونداي,كريتا,حي النسيم,عرعر,الحدود الشمالية,Alien
101571189,6,2154411089,Issued to violator but un-paid,2026-01-30 02:16:26+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,كيا,كارينز,الخالدية,صبيا,منطقة جازان,Alien
102218740,6,1842172780,Issued to violator but un-paid,2026-01-30 01:16:49+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الحاير,ميتسوبيشي,باجيرو,الفرسان,الدرعية,منطقة الرياض,Saudi
100925051,8,1207680818,Issued to violator but un-paid,2026-01-30 00:47:27+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,مازدا,مازدا CX-5,النسيم,الرياض,منطقة الرياض,Saudi
103163980,9,1768188456,Issued to violator but un-paid,2026-01-29 22:40:40+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,شيفروليه,سبارك,الفلاح,تبوك,منطقة تبوك,Saudi
102253799,3,2094704043,Issued to violator but un-paid,2026-01-29 21:58:28+00:00,,150,150,True,عدم ربط حزام,مرور مكه المكرمه,جيب,رانجلر,الطويريق,رفحاء,الحدود الشمالية,Alien
103163980,4,1250298907,Issued to violator but un-paid,2026-01-29 21:57:47+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,جيب,رانجلر,الاحد,بلجرشي,منطقة الباحة,Saudi
100925051,10,2354584154,Issued to violator but un-paid,2026-01-29 21:57:31+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,جيب,رانجلر,الصفا,جازان,منطقة جازان,Alien
102253799,4,1070722262,Issued to violator but un-paid,2026-01-29 21:55:09+00:00,,150,150,True,عدم ربط حزام,مرور شمال رياض,شيفروليه,تاهو,الوادي,دومة الجندل,منطقة الجوف,Saudi
102253799,3,1972874804,Issued to violator but un-paid,2026-01-29 21:53:08+00:00,,150,150,True,عدم ربط حزام,مرور المدينة المنورة,تويوتا,كورولا,الرحاب 2,تبوك,منطقة تبوك,Saudi
102218740,9,1325716885,Issued to violator but un-paid,2026-01-29 21:52:44+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور مكه المكرمه,نيسان,نافارا,المنتزه,الخرج,منطقة الرياض,Saudi
100925051,10,1689570563,Issued to violator but un-paid,2026-01-29 21:49:33+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,هيونداي,كريتا,المطار,نجران,منطقة نجران,Saudi
102253799,4,2863087143,Issued to violator but un-paid,2026-01-29 21:48:07+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,هيونداي,كريتا,الغدير,الرياض,منطقة الرياض,Alien
101571189,5,2567696273,Issued to violator but un-paid,2026-01-29 21:46:49+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,تويوتا,كروزر,السلي,الرياض,منطقة الرياض,Alien
100925051,5,2451395125,Issued to violator but un-paid,2026-01-29 21:45:24+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,جي إم سي,يوكون,التهامي,الخرج,منطقة الرياض,Alien
102218740,3,1498754712,Issued to violator but un-paid,2026-01-29 21:43:37+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,مرسيدس بنز,مرسيدس بنز E-Class,الخالدية,صبيا,منطقة جازان,Saudi
103163980,2,1071399596,Issued to violator but un-paid,2026-01-29 21:39:00+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,هيونداي,توسان,الملز,الرياض,منطقة الرياض,Saudi
