region,gender,population_count,total_count,percentage
الحدود الشمالية,F,362,727,49.79
الحدود الشمالية,M,365,727,50.21
منطقة الباحة,F,359,694,51.73
منطقة الباحة,M,335,694,48.27
منطقة الجوف,F,383,739,51.83
منطقة الجوف,M,356,739,48.17
منطقة الرياض,F,343,671,51.12
منطقة الرياض,M,328,671,48.88
منطقة تبوك,F,346,696,49.71
منطقة تبوك,M,350,696,50.29
منطقة جازان,F,330,672,49.11
منطقة جازان,M,342,672,50.89
منطقة مكة المكرمة,F,328,679,48.31
منطقة مكة المكرمة,M,351,679,51.69
منطقة نجران,F,352,701,50.21
منطقة نجران,M,349,701,49.79
