standardized_establishment,avg_wage
وزارة الداخلية,24305.391733466924
وزارة التعليم,24261.614805825262
وزارة السياحة,24260.448225469736
وزارة البيئة والمياه وإدارة الأراضي,24225.47309373483
وزارة الموارد البشرية والتنمية الاجتماعية,24091.104054054056
وزارة الصحة,24079.68193897638
المؤسسة العامة للرياضة,24079.5348733234
الهيئة العامة للزكاة والضريبة,24071.05151072126
وزارة الشؤون البلدية والقروية,24011.561376953134
وزارة النقل,24008.62051531356
وزارة الاستثمار,24002.41333333333
وزارة المالية,23989.86084158416
وزارة الاتصالات وتقنية المعلومات,23983.99900546992
المؤسسة العامة للتقنية,23974.667940446645
الهيئة العامة للترفيه,23961.09546120058
المؤسسة العامة للمنشآت الصغيرة والمتوسطة,23960.90745310958
وزارة الطاقة,23919.473412112253
الهيئة العامة للغذاء والدواء,23891.42355329949
وزارة التجارة,23859.027009155638
وزارة العدل,23837.964829659333
