death_year,age_range,gender,nationality,marital_status_group,death_count
2017,0-10,F,سعودي,Divorced,868
2017,0-10,M,سعودي,Married,849
2016,0-10,M,سعودي,Married,823
2016,0-10,F,سعودي,Divorced,805
2015,0-10,M,سعودي,Married,769
2015,0-10,F,سعودي,Divorced,737
2014,0-10,F,سعودي,Divorced,715
2013,0-10,F,سعودي,Divorced,704
2014,0-10,M,سعودي,Married,704
2017,21-40,M,سعودي,Married,665
2013,0-10,M,سعودي,Married,649
2017,21-40,F,سعودي,Divorced,646
2016,21-40,M,سعودي,Married,643
2017,0-10,M,سعودي,Divorced,632
2012,0-10,M,سعودي,Married,628
2011,0-10,F,سعودي,Divorced,615
2016,21-40,F,سعودي,Divorced,614
2015,21-40,M,سعودي,Married,611
2011,0-10,M,سعودي,Married,601
2010,0-10,F,سعودي,Divorced,595
2012,0-10,F,سعودي,Divorced,594
2014,21-40,F,سعودي,Divorced,592
2010,0-10,M,سعودي,Married,592
2015,21-40,F,سعودي,Divorced,589
2016,0-10,M,سعودي,Divorced,583
2013,21-40,F,سعودي,Divorced,579
2014,21-40,M,سعودي,Married,565
2012,21-40,F,سعودي,Divorced,561
2012,21-40,M,سعودي,Married,560
2009,0-10,M,سعودي,Married,548
2009,0-10,F,سعودي,Divorced,548
2013,21-40,M,سعودي,Married,548
2011,21-40,M,سعودي,Married,545
2009,21-40,M,سعودي,Married,539
2011,21-40,F,سعودي,Divorced,537
2009,21-40,F,سعودي,Divorced,533
2010,21-40,F,سعودي,Divorced,531
2015,0-10,M,سعودي,Divorced,525
2017,11-20,M,سعودي,Married,517
2010,21-40,M,سعودي,Married,507
2015,11-20,M,سعودي,Married,506
2017,11-20,F,سعودي,Divorced,497
2014,0-10,M,سعودي,Divorced,487
2016,11-20,M,سعودي,Married,478
2013,0-10,M,سعودي,Divorced,477
2016,11-20,F,سعودي,Divorced,476
2015,11-20,F,سعودي,Divorced,476
2013,11-20,F,سعودي,Divorced,474
2014,11-20,M,سعودي,Married,469
2017,21-40,M,سعودي,Divorced,456
2017,41-60,F,سعودي,Divorced,436
2016,41-60,M,سعودي,Married,428
2012,11-20,F,سعودي,Divorced,427
2016,0-10,F,سعودي,Married,423
2017,41-60,M,سعودي,Married,422
2014,11-20,F,سعودي,Divorced,422
2013,11-20,M,سعودي,Married,422
2015,41-60,F,سعودي,Divorced,421
2016,0-10,F,سعودي,Single,419
2012,11-20,M,سعودي,Married,416
2017,0-10,F,سعودي,Single,416
2016,21-40,M,سعودي,Divorced,413
2011,0-10,M,سعودي,Divorced,409
2010,11-20,F,سعودي,Divorced,408
2017,0-10,F,سعودي,Married,405
2011,11-20,F,سعودي,Divorced,400
2015,0-10,F,سعودي,Single,399
2015,41-60,M,سعودي,Married,399
2010,41-60,F,سعودي,Divorced,398
2016,41-60,F,سعودي,Divorced,397
2012,41-60,F,سعودي,Divorced,395
2011,41-60,F,سعودي,Divorced,394
2011,11-20,M,سعودي,Married,393
2012,21-40,M,سعودي,Divorced,393
2014,21-40,M,سعودي,Divorced,392
2013,41-60,F,سعودي,Divorced,391
2012,41-60,M,سعودي,Married,383
2009,11-20,F,سعودي,Divorced,383
2009,21-40,M,سعودي,Divorced,383
2010,11-20,M,سعودي,Married,382
2015,21-40,M,سعودي,Divorced,380
2010,41-60,M,سعودي,Married,380
2014,41-60,F,سعودي,Divorced,379
2013,21-40,M,سعودي,Divorced,379
2014,41-60,M,سعودي,Married,376
2011,21-40,M,سعودي,Divorced,373
2012,0-10,M,سعودي,Divorced,372
2009,11-20,M,سعودي,Married,372
2015,0-10,F,سعودي,Married,371
2013,41-60,M,سعودي,Married,370
2010,21-40,M,سعودي,Divorced,367
2011,41-60,M,سعودي,Married,366
2014,0-10,F,سعودي,Single,364
2009,41-60,F,سعودي,Divorced,363
2009,41-60,M,سعودي,Married,363
2017,11-20,M,سعودي,Divorced,359
2017,21-40,F,سعودي,Single,349
2012,0-10,F,سعودي,Married,348
2009,0-10,M,سعودي,Divorced,342
2013,0-10,F,سعودي,Single,342
2010,0-10,M,سعودي,Divorced,341
2014,0-10,F,سعودي,Married,338
2016,21-40,F,سعودي,Married,336
2015,11-20,M,سعودي,Divorced,332
2012,0-10,F,سعودي,Single,331
2016,11-20,M,سعودي,Divorced,329
2015,21-40,F,سعودي,Married,325
2013,0-10,F,سعودي,Married,322
2017,21-40,F,سعودي,Married,314
2015,21-40,F,سعودي,Single,310
2017,41-60,M,سعودي,Divorced,309
2016,21-40,F,سعودي,Single,308
2011,0-10,F,سعودي,Married,308
2012,21-40,F,سعودي,Married,304
2017,0-10,M,سعودي,Single,297
2011,0-10,F,سعودي,Single,296
2014,21-40,F,سعودي,Married,293
2010,0-10,F,سعودي,Married,292
2014,11-20,M,سعودي,Divorced,292
2012,21-40,F,سعودي,Single,291
2011,21-40,F,سعودي,Married,291
2014,21-40,F,سعودي,Single,289
2013,21-40,F,سعودي,Married,286
2016,0-10,M,سعودي,Single,283
2011,11-20,M,سعودي,Divorced,281
2010,0-10,F,سعودي,Single,273
2011,21-40,F,سعودي,Single,273
2011,41-60,M,سعودي,Divorced,271
2009,21-40,F,سعودي,Single,269
2010,21-40,F,سعودي,Married,267
2016,11-20,F,سعودي,Single,266
2009,21-40,F,سعودي,Married,266
2012,11-20,M,سعودي,Divorced,266
2017,11-20,F,سعودي,Single,265
2013,41-60,M,سعودي,Divorced,265
2010,21-40,F,سعودي,Single,263
2010,11-20,M,سعودي,Divorced,262
2015,11-20,F,سعودي,Single,261
2009,0-10,F,سعودي,Married,260
2016,41-60,M,سعودي,Divorced,258
2009,11-20,M,سعودي,Divorced,258
2013,21-40,F,سعودي,Single,257
2009,0-10,F,سعودي,Single,255
2013,11-20,M,سعودي,Divorced,254
2012,41-60,M,سعودي,Divorced,252
2014,11-20,F,سعودي,Married,247
2015,0-10,M,سعودي,Single,245
2015,41-60,M,سعودي,Divorced,245
2009,41-60,M,سعودي,Divorced,242
2016,11-20,F,سعودي,Married,241
2014,41-60,M,سعودي,Divorced,237
2014,0-10,M,سعودي,Single,235
2017,11-20,F,سعودي,Married,233
2010,41-60,M,سعودي,Divorced,232
2013,11-20,F,سعودي,Single,228
2017,41-60,F,سعودي,Married,227
2015,41-60,F,سعودي,Single,225
2015,11-20,F,سعودي,Married,225
2012,11-20,F,سعودي,Single,217
2011,41-60,F,سعودي,Married,215
2011,11-20,F,سعودي,Single,214
2010,11-20,F,سعودي,Married,213
2014,11-20,F,سعودي,Single,213
2016,41-60,F,سعودي,Single,212
2015,21-40,M,سعودي,Single,211
2012,41-60,F,سعودي,Married,211
2017,21-40,M,سعودي,Single,208
2010,11-20,F,سعودي,Single,207
2012,0-10,M,سعودي,Single,206
2014,41-60,F,سعودي,Single,206
2009,11-20,F,سعودي,Single,206
2014,41-60,F,سعودي,Married,205
2014,21-40,M,سعودي,Single,202
2011,41-60,F,سعودي,Single,201
2013,0-10,M,سعودي,Single,199
2011,21-40,M,سعودي,Single,199
2011,11-20,F,سعودي,Married,199
2012,11-20,F,سعودي,Married,198
2016,41-60,F,سعودي,Married,197
2013,11-20,F,سعودي,Married,197
2010,41-60,F,سعودي,Single,193
2016,21-40,M,سعودي,Single,192
2013,41-60,F,سعودي,Single,192
2010,0-10,M,سعودي,Single,191
2013,21-40,M,سعودي,Single,191
2012,21-40,M,سعودي,Single,190
2015,41-60,F,سعودي,Married,190
2009,11-20,F,سعودي,Married,189
2012,41-60,F,سعودي,Single,184
2010,21-40,M,سعودي,Single,183
2017,41-60,F,سعودي,Single,180
2013,41-60,F,سعودي,Married,177
2016,61+,F,سعودي,Divorced,174
2015,11-20,M,سعودي,Single,173
2009,41-60,F,سعودي,Married,169
2017,61+,F,سعودي,Divorced,169
2016,61+,M,سعودي,Married,166
2009,41-60,F,سعودي,Single,164
2010,41-60,F,سعودي,Married,163
2009,0-10,M,سعودي,Single,163
2017,61+,M,سعودي,Married,159
2011,0-10,M,سعودي,Single,158
2012,11-20,M,سعودي,Single,155
2016,11-20,M,سعودي,Single,155
2009,21-40,M,سعودي,Single,154
2017,11-20,M,سعودي,Single,152
2011,11-20,M,سعودي,Single,149
2013,11-20,M,سعودي,Single,148
2016,41-60,M,سعودي,Single,148
2010,11-20,M,سعودي,Single,143
2012,41-60,M,سعودي,Single,141
2015,41-60,M,سعودي,Single,134
2017,41-60,M,سعودي,Single,134
2014,41-60,M,سعودي,Single,134
2014,11-20,M,سعودي,Single,133
2015,61+,F,سعودي,Divorced,132
2015,61+,M,سعودي,Married,130
2017,61+,M,سعودي,Divorced,128
2014,61+,M,سعودي,Married,127
2009,11-20,M,سعودي,Single,125
2010,41-60,M,سعودي,Single,124
2013,41-60,M,سعودي,Single,123
2013,61+,M,سعودي,Married,121
2013,61+,F,سعودي,Divorced,120
2015,61+,M,سعودي,Divorced,117
2011,41-60,M,سعودي,Single,115
2016,61+,M,سعودي,Divorced,113
2014,61+,F,سعودي,Divorced,110
2009,41-60,M,سعودي,Single,106
2012,61+,M,سعودي,Married,94
2017,61+,F,سعودي,Married,83
2011,61+,F,سعودي,Divorced,83
2015,61+,F,سعودي,Single,81
2017,61+,F,سعودي,Single,81
2016,61+,F,سعودي,Single,78
2014,61+,M,سعودي,Divorced,75
2011,61+,M,سعودي,Married,75
2017,61+,M,سعودي,Single,74
2012,61+,F,سعودي,Divorced,72
2014,61+,F,سعودي,Single,72
2013,61+,M,سعودي,Divorced,71
2015,61+,F,سعودي,Married,70
2012,61+,M,سعودي,Divorced,66
2013,61+,F,سعودي,Married,66
2014,61+,F,سعودي,Married,64
2010,61+,M,سعودي,Married,61
2016,61+,F,سعودي,Married,57
2013,61+,F,سعودي,Single,56
2014,61+,M,سعودي,Single,55
2012,61+,F,سعودي,Married,52
2016,0-10,F,هندي,Divorced,50
2017,0-10,F,سوري,Divorced,50
2010,61+,F,سعودي,Divorced,50
2017,0-10,F,ياباني,Divorced,48
2017,0-10,M,اماراتي,Married,48
2016,0-10,F,ياباني,Divorced,47
2011,61+,F,سعودي,Married,47
2016,61+,M,سعودي,Single,46
2015,0-10,M,هندي,Married,46
2016,0-10,M,صيني,Married,46
2017,0-10,F,بحريني,Divorced,45
2009,61+,M,سعودي,Married,45
2017,0-10,F,بريطاني,Divorced,45
2017,0-10,M,فرنسي,Married,45
2015,61+,M,سعودي,Single,44
2017,0-10,M,سوداني,Married,43
2017,0-10,M,إيطالي,Married,43
2016,0-10,F,اردني,Divorced,42
2011,61+,M,سعودي,Divorced,42
2017,0-10,F,تونسي,Divorced,42
2013,0-10,F,مصري,Divorced,42
2017,0-10,M,صيني,Married,42
2017,0-10,M,عماني,Married,41
2017,0-10,F,ألماني,Divorced,41
2017,0-10,F,مصري,Divorced,41
2017,21-40,M,عماني,Married,41
2013,21-40,M,ياباني,Married,40
2016,0-10,F,مصري,Divorced,40
2017,0-10,F,اردني,Divorced,40
2017,0-10,F,سوداني,Divorced,40
2015,0-10,F,بريطاني,Divorced,40
2017,0-10,F,باكستاني,Divorced,40
2017,0-10,M,اردني,Married,39
2017,0-10,F,لبناني,Divorced,39
2014,0-10,F,عراقي,Divorced,39
2016,0-10,M,ألماني,Married,39
2015,0-10,M,عراقي,Married,39
2017,0-10,F,ليبي,Divorced,39
2015,0-10,M,مصري,Married,39
2017,0-10,F,عماني,Divorced,39
2016,0-10,M,سوداني,Married,39
2015,0-10,F,عراقي,Divorced,39
2017,0-10,F,إسباني,Divorced,39
2012,0-10,F,مصري,Divorced,38
2017,0-10,F,إيطالي,Divorced,38
2017,0-10,F,اماراتي,Divorced,38
2016,0-10,M,إيطالي,Married,38
2009,61+,F,سعودي,Divorced,38
2011,61+,F,سعودي,Single,38
2014,21-40,F,تركي,Divorced,38
2016,21-40,M,صيني,Married,38
2015,0-10,F,صيني,Divorced,38
2014,0-10,F,هندي,Divorced,38
2013,0-10,F,ليبي,Divorced,37
2011,0-10,F,ليبي,Divorced,37
2016,0-10,M,سوري,Married,37
2014,21-40,F,تونسي,Divorced,37
2016,21-40,M,هندي,Married,37
2017,0-10,M,قطري,Married,37
2017,0-10,M,اماراتي,Divorced,37
2009,0-10,M,فرنسي,Married,37
2017,0-10,M,امريكي,Married,37
2015,0-10,F,إيطالي,Divorced,37
2016,0-10,M,قطري,Married,37
2017,21-40,F,قطري,Divorced,37
2015,21-40,M,سوري,Married,37
2011,0-10,M,بريطاني,Married,37
2012,61+,F,سعودي,Single,37
2016,0-10,M,عراقي,Married,37
2016,0-10,F,باكستاني,Divorced,37
2014,0-10,M,هندي,Married,37
2016,0-10,M,اماراتي,Married,36
2014,0-10,F,فرنسي,Divorced,36
2017,0-10,M,لبناني,Married,36
2016,0-10,M,هندي,Married,36
2015,0-10,M,اردني,Married,36
2014,21-40,M,ألماني,Married,36
2014,0-10,F,قطري,Divorced,36
2015,0-10,F,تونسي,Divorced,36
2017,0-10,M,باكستاني,Married,36
2015,0-10,F,قطري,Divorced,36
2017,0-10,M,عراقي,Married,36
2014,0-10,F,كويتي,Divorced,36
2016,0-10,F,بحريني,Divorced,36
2015,0-10,F,اردني,Divorced,36
2017,0-10,M,ياباني,Married,36
2016,0-10,F,ليبي,Divorced,35
2015,0-10,F,بحريني,Divorced,35
2014,0-10,F,صيني,Divorced,35
2014,0-10,F,تركي,Divorced,35
2016,21-40,F,ليبي,Divorced,35
2015,0-10,M,قطري,Married,35
2014,0-10,F,إسباني,Divorced,35
2017,21-40,F,اردني,Divorced,35
2014,0-10,F,إيطالي,Divorced,35
2015,0-10,M,عماني,Married,35
2017,21-40,F,إسباني,Divorced,35
2013,0-10,M,لبناني,Married,35
2017,0-10,M,تونسي,Married,35
2016,0-10,F,تونسي,Divorced,35
2016,0-10,M,باكستاني,Married,35
2013,21-40,F,إسباني,Divorced,35
2014,0-10,F,مصري,Divorced,35
2013,0-10,F,قطري,Divorced,35
2015,0-10,F,عماني,Divorced,35
2016,0-10,F,فرنسي,Divorced,35
2017,21-40,M,كويتي,Married,35
2015,21-40,M,ليبي,Divorced,35
2016,0-10,F,كويتي,Divorced,34
2015,0-10,M,سوري,Married,34
2017,0-10,M,سوري,Married,34
2012,0-10,F,هندي,Divorced,34
2015,0-10,F,لبناني,Divorced,34
2015,0-10,M,تركي,Married,34
2017,0-10,M,كويتي,Married,34
2016,11-20,M,تركي,Married,34
2013,0-10,F,بحريني,Divorced,34
2016,0-10,F,عماني,Divorced,34
2016,0-10,M,لبناني,Married,34
2016,0-10,M,تركي,Married,34
2013,0-10,M,كويتي,Married,34
2016,21-40,M,تركي,Married,34
2014,21-40,M,اردني,Married,34
2015,0-10,M,فرنسي,Married,34
2016,21-40,F,ألماني,Divorced,34
2017,0-10,M,امريكي,Divorced,34
2016,0-10,F,اماراتي,Divorced,34
2017,21-40,F,اماراتي,Divorced,34
2010,0-10,M,ياباني,Married,34
2016,0-10,M,ليبي,Married,34
2017,0-10,F,قطري,Divorced,34
2013,0-10,M,مصري,Married,33
2016,0-10,F,سوداني,Divorced,33
2012,0-10,F,اردني,Divorced,33
2017,0-10,M,هندي,Married,33
2016,11-20,M,عماني,Married,33
2017,21-40,F,فرنسي,Divorced,33
2017,0-10,F,صيني,Divorced,33
2014,0-10,F,امريكي,Divorced,33
2015,0-10,M,تونسي,Married,33
2015,0-10,F,سوداني,Divorced,33
2015,21-40,M,امريكي,Married,33
2017,21-40,F,ليبي,Divorced,33
2016,0-10,M,تونسي,Married,33
2014,0-10,M,صيني,Married,33
2014,21-40,F,بحريني,Divorced,33
2013,0-10,F,تونسي,Divorced,33
2015,21-40,F,ألماني,Divorced,33
2017,21-40,F,تركي,Divorced,33
2016,0-10,F,صيني,Divorced,33
2015,0-10,M,إيطالي,Married,33
2013,21-40,M,مصري,Married,33
2014,0-10,F,بحريني,Divorced,33
2013,11-20,F,لبناني,Divorced,33
2017,0-10,M,ليبي,Married,33
2016,0-10,M,ياباني,Married,33
2017,0-10,M,ألماني,Married,32
2012,21-40,F,تونسي,Divorced,32
2016,0-10,F,قطري,Divorced,32
2014,0-10,M,امريكي,Married,32
2017,0-10,F,عراقي,Divorced,32
2017,21-40,M,ألماني,Married,32
2017,0-10,F,هندي,Divorced,32
2010,61+,F,سعودي,Single,32
2013,21-40,F,تونسي,Divorced,32
2013,21-40,F,اماراتي,Divorced,32
2010,0-10,F,ألماني,Divorced,32
2012,0-10,F,إيطالي,Divorced,32
2011,21-40,F,ألماني,Divorced,32
2015,21-40,M,باكستاني,Married,32
2015,21-40,F,مصري,Divorced,32
2010,0-10,M,سوداني,Married,32
2013,21-40,F,عماني,Divorced,32
2013,0-10,M,سوري,Married,32
2016,0-10,M,إسباني,Married,32
2017,0-10,M,بريطاني,Married,32
2014,0-10,F,باكستاني,Divorced,32
2010,21-40,F,سوري,Divorced,32
2015,0-10,M,إسباني,Married,32
2014,0-10,F,اردني,Divorced,32
2012,21-40,M,اردني,Married,32
