nationality,entry_port,entry_count,total,percentage
اردني,مطار الملك خالد الدولي (الرياض),19,33,57.6
صيني,مطار الملك خالد الدولي (الرياض),19,27,70.4
ياباني,مطار الملك خالد الدولي (الرياض),11,19,57.9
ألماني,مطار الملك خالد الدولي (الرياض),11,19,57.9
بحريني,مطار الملك خالد الدولي (الرياض),9,17,52.9
عماني,مطار الملك عبدالعزيز الدولي (جدة),9,16,56.3
كويتي,مطار الملك خالد الدولي (الرياض),7,16,43.8
ليبي,مطار الملك خالد الدولي (الرياض),8,13,61.5
بريطاني,مطار الملك خالد الدولي (الرياض),8,12,66.7
إيطالي,مطار الملك عبدالعزيز الدولي (جدة),6,8,75.0
