airport,destination,flight_count
مطار الملك خالد الدولي (الرياض),غانا,738
مطار الملك خالد الدولي (الرياض),المملكة المتحدة,734
مطار الملك خالد الدولي (الرياض),جنوب أفريقيا,727
مطار الملك خالد الدولي (الرياض),الولايات المتحدة,717
مطار الملك خالد الدولي (الرياض),المغرب,714
مطار الملك خالد الدولي (الرياض),إسبانيا,707
مطار الملك خالد الدولي (الرياض),سويسرا,695
مطار الملك خالد الدولي (الرياض),البرازيل,686
مطار الملك خالد الدولي (الرياض),الهند,686
مطار الملك خالد الدولي (الرياض),سنغافورة,686
مطار الملك خالد الدولي (الرياض),السويد,680
مطار الملك خالد الدولي (الرياض),الصين,679
مطار الملك خالد الدولي (الرياض),ألمانيا,674
مطار الملك خالد الدولي (الرياض),أستراليا,672
مطار الملك خالد الدولي (الرياض),نيجيريا,670
مطار الملك خالد الدولي (الرياض),إندونيسيا,669
مطار الملك خالد الدولي (الرياض),الأرجنتين,669
مطار الملك خالد الدولي (الرياض),بيرو,666
مطار الملك خالد الدولي (الرياض),نيبال,663
مطار الملك خالد الدولي (الرياض),الجزائر,660
مطار الملك خالد الدولي (الرياض),تركيا,659
مطار الملك خالد الدولي (الرياض),اليابان,633
مطار الملك خالد الدولي (الرياض),بنغلاديش,633
مطار الملك خالد الدولي (الرياض),كمبوديا,631
مطار الملك خالد الدولي (الرياض),نيوزيلندا,621
مطار الملك خالد الدولي (الرياض),ماليزيا,604
مطار الملك خالد الدولي (الرياض),النمسا,582
مطار الملك خالد الدولي (الرياض),العراق,343
مطار الملك خالد الدولي (الرياض),قطر,323
مطار الملك عبدالعزيز الدولي (جدة),فيتنام,712
مطار الملك عبدالعزيز الدولي (جدة),تونس,708
مطار الملك عبدالعزيز الدولي (جدة),إثيوبيا,693
مطار الملك عبدالعزيز الدولي (جدة),تشيلي,673
مطار الملك عبدالعزيز الدولي (جدة),هولندا,671
مطار الملك عبدالعزيز الدولي (جدة),سريلانكا,670
مطار الملك عبدالعزيز الدولي (جدة),تايلاند,669
مطار الملك عبدالعزيز الدولي (جدة),الفلبين,666
مطار الملك عبدالعزيز الدولي (جدة),كندا,666
مطار الملك عبدالعزيز الدولي (جدة),لبنان,665
مطار الملك عبدالعزيز الدولي (جدة),فرنسا,659
مطار الملك عبدالعزيز الدولي (جدة),بلجيكا,659
مطار الملك عبدالعزيز الدولي (جدة),كينيا,645
مطار الملك عبدالعزيز الدولي (جدة),باكستان,643
مطار الملك عبدالعزيز الدولي (جدة),إيطاليا,640
مطار الملك عبدالعزيز الدولي (جدة),المكسيك,638
مطار الملك عبدالعزيز الدولي (جدة),كولومبيا,625
مطار الملك عبدالعزيز الدولي (جدة),كوريا الجنوبية,586
مطار الملك عبدالعزيز الدولي (جدة),مصر,356
مطار الملك عبدالعزيز الدولي (جدة),عُمان,310
مطار الملك عبدالعزيز الدولي (جدة),السودان,299
مطار الملك عبدالعزيز الدولي (جدة),اليمن,147
