city,violation_type_description,violation_count
الباحة,وقوف المركبة في اماكن غير مخصصة للوقوف,5934
الباحة,دخول أو خروج الشاحنات في أوقات المنع,5898
الباحة,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,5886
الباحة,عدم امتلاك لوحة أمامية أو خلفية,5858
الباحة,عدم ربط حزام,5832
الخرج,عدم امتلاك لوحة أمامية أو خلفية,4001
الخرج,وقوف المركبة في اماكن غير مخصصة للوقوف,3965
الخرج,دخول أو خروج الشاحنات في أوقات المنع,3964
الخرج,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,3954
الخرج,عدم ربط حزام,3939
الدرعية,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,4048
الدرعية,دخول أو خروج الشاحنات في أوقات المنع,4011
الدرعية,عدم ربط حزام,3980
الدرعية,عدم امتلاك لوحة أمامية أو خلفية,3947
الدرعية,وقوف المركبة في اماكن غير مخصصة للوقوف,3926
الرياض,عدم ربط حزام,4098
الرياض,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,4019
الرياض,دخول أو خروج الشاحنات في أوقات المنع,4016
الرياض,وقوف المركبة في اماكن غير مخصصة للوقوف,3984
الرياض,عدم امتلاك لوحة أمامية أو خلفية,3971
الوجه,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,4022
الوجه,وقوف المركبة في اماكن غير مخصصة للوقوف,3983
الوجه,دخول أو خروج الشاحنات في أوقات المنع,3967
الوجه,عدم امتلاك لوحة أمامية أو خلفية,3936
الوجه,عدم ربط حزام,3913
بلجرشي,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,5984
بلجرشي,وقوف المركبة في اماكن غير مخصصة للوقوف,5962
بلجرشي,دخول أو خروج الشاحنات في أوقات المنع,5886
بلجرشي,عدم ربط حزام,5870
بلجرشي,عدم امتلاك لوحة أمامية أو خلفية,5858
تبوك,دخول أو خروج الشاحنات في أوقات المنع,3999
تبوك,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,3969
تبوك,عدم امتلاك لوحة أمامية أو خلفية,3909
تبوك,عدم ربط حزام,3877
تبوك,وقوف المركبة في اماكن غير مخصصة للوقوف,3847
جازان,دخول أو خروج الشاحنات في أوقات المنع,6158
جازان,عدم امتلاك لوحة أمامية أو خلفية,5995
جازان,وقوف المركبة في اماكن غير مخصصة للوقوف,5971
جازان,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,5955
جازان,عدم ربط حزام,5944
جدة,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,6190
جدة,وقوف المركبة في اماكن غير مخصصة للوقوف,6101
جدة,عدم ربط حزام,6085
جدة,دخول أو خروج الشاحنات في أوقات المنع,6074
جدة,عدم امتلاك لوحة أمامية أو خلفية,5942
دومة الجندل,عدم ربط حزام,6056
دومة الجندل,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,6047
دومة الجندل,وقوف المركبة في اماكن غير مخصصة للوقوف,6028
دومة الجندل,دخول أو خروج الشاحنات في أوقات المنع,5923
دومة الجندل,عدم امتلاك لوحة أمامية أو خلفية,5886
رفحاء,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,6097
رفحاء,دخول أو خروج الشاحنات في أوقات المنع,6056
رفحاء,عدم ربط حزام,5943
رفحاء,عدم امتلاك لوحة أمامية أو خلفية,5923
رفحاء,وقوف المركبة في اماكن غير مخصصة للوقوف,5908
سكاكا,عدم امتلاك لوحة أمامية أو خلفية,6049
سكاكا,عدم ربط حزام,6006
سكاكا,دخول أو خروج الشاحنات في أوقات المنع,5954
سكاكا,وقوف المركبة في اماكن غير مخصصة للوقوف,5898
سكاكا,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,5797
صبيا,دخول أو خروج الشاحنات في أوقات المنع,6126
صبيا,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,6116
صبيا,عدم ربط حزام,5954
صبيا,وقوف المركبة في اماكن غير مخصصة للوقوف,5893
صبيا,عدم امتلاك لوحة أمامية أو خلفية,5757
ضبا,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,4020
ضبا,عدم ربط حزام,4016
ضبا,عدم امتلاك لوحة أمامية أو خلفية,3870
ضبا,وقوف المركبة في اماكن غير مخصصة للوقوف,3834
ضبا,دخول أو خروج الشاحنات في أوقات المنع,3809
عرعر,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,5945
عرعر,عدم ربط حزام,5942
عرعر,وقوف المركبة في اماكن غير مخصصة للوقوف,5929
عرعر,دخول أو خروج الشاحنات في أوقات المنع,5908
عرعر,عدم امتلاك لوحة أمامية أو خلفية,5873
مكة المكرمة,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,5917
مكة المكرمة,عدم ربط حزام,5913
مكة المكرمة,عدم امتلاك لوحة أمامية أو خلفية,5866
مكة المكرمة,دخول أو خروج الشاحنات في أوقات المنع,5853
مكة المكرمة,وقوف المركبة في اماكن غير مخصصة للوقوف,5724
نجران,وقوف المركبة في اماكن غير مخصصة للوقوف,12152
نجران,دخول أو خروج الشاحنات في أوقات المنع,12149
نجران,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,11963
نجران,عدم ربط حزام,11877
نجران,عدم امتلاك لوحة أمامية أو خلفية,11786
