city,municipality,district,population_count,wkt
الرياض,الغدير,الغدير,22,"POLYGON ((46.668376 24.769899, 46.64725 24.761, 46.640799 24.77372, 46.643233 24.779148, 46.660215 24.786283, 46.668376 24.769899))"
الرياض,العقيق,العقيق,21,"POLYGON ((46.635621 24.756088, 46.629331 24.753436, 46.612715 24.786224, 46.630674 24.793783, 46.64725 24.761, 46.635621 24.756088))"
الرياض,السلي,السلي,28,"POLYGON ((46.857007 24.662522, 46.857393 24.654588, 46.899345 24.655549, 46.897793 24.653043, 46.896892 24.645858, 46.834971 24.616902, 46.806249 24.667867, 46.855677 24.691027, 46.856509 24.691215, 46.857105 24.664907, 46.857007 24.662522))"
الرياض,الملز,الملز,16,"POLYGON ((46.746671 24.669923, 46.74843 24.665816, 46.754549 24.65414, 46.752707 24.653544, 46.740374 24.65297, 46.738783 24.652666, 46.73736 24.65195, 46.734175 24.649539, 46.733235 24.646903, 46.716153 24.651219, 46.717533 24.658049, 46.718211 24.667003, 46.727527 24.666434, 46.72806 24.666512, 46.729064 24.667076, 46.728169 24.66839, 46.727811 24.668646, 46.72774 24.66968, 46.728329 24.670491, 46.726463 24.678841, 46.739362 24.681116, 46.740882 24.681773, 46.742679 24.679684, 46.746671 24.669923))"
الرياض,الياسمين,الياسمين,28,"POLYGON ((46.66009 24.829609, 46.669843 24.810265, 46.651878 24.802708, 46.643603 24.819123, 46.62239 24.810188, 46.614113 24.826583, 46.653287 24.843064, 46.66009 24.829609))"
الرياض,النرجس,النرجس,20,"POLYGON ((46.654311 24.895592, 46.701182 24.819359, 46.700748 24.819136, 46.694708 24.819581, 46.692643 24.819384, 46.690721 24.818947, 46.688876 24.818291, 46.669843 24.810265, 46.589219 24.970006, 46.591143 24.970864, 46.592966 24.971943, 46.602743 24.979308, 46.654311 24.895592))"
الرياض,الملقا,الملقا,19,"POLYGON ((46.612715 24.786224, 46.592668 24.777799, 46.591508 24.777601, 46.590136 24.777682, 46.587077 24.778802, 46.586452 24.778877, 46.584877 24.778946, 46.582992 24.778801, 46.572507 24.774932, 46.568724 24.783271, 46.568025 24.785152, 46.564802 24.796841, 46.570799 24.798221, 46.572053 24.798779, 46.57316 24.799555, 46.574412 24.800997, 46.580192 24.810216, 46.581967 24.812145, 46.584089 24.81374, 46.586132 24.814797, 46.614113 24.826583, 46.630674 24.793783, 46.612715 24.786224))"
الرياض,العليا,العليا,21,"POLYGON ((46.688779 24.67881, 46.682758 24.676395, 46.68045 24.675786, 46.678114 24.675408, 46.678391 24.678079, 46.678074 24.679568, 46.663567 24.708402, 46.671985 24.712063, 46.688779 24.67881))"
الرياض,العليا,العليا,21,"POLYGON ((46.703419 24.675474, 46.701502 24.673145, 46.700105 24.671718, 46.697844 24.669725, 46.695819 24.668208, 46.69352 24.670306, 46.69257 24.67145, 46.688779 24.67881, 46.699646 24.683403, 46.701582 24.679577, 46.703419 24.675474))"
الرياض,العليا,العليا,21,"POLYGON ((46.688779 24.67881, 46.671985 24.712063, 46.681948 24.716466, 46.687296 24.706255, 46.690425 24.707578, 46.691224 24.705897, 46.691912 24.701852, 46.696168 24.693404, 46.699954 24.694999, 46.703316 24.696945, 46.698917 24.685808, 46.69892 24.684949, 46.699646 24.683403, 46.688779 24.67881))"
الرياض,الروضة,الروضة,31,"POLYGON ((46.774519 24.74703, 46.787011 24.730206, 46.76175 24.714498, 46.748818 24.740048, 46.769979 24.753157, 46.774519 24.74703))"
