gender,nationality,person_type,group_count,percentage
F,ألماني,Alien,65,1.17
M,ألماني,Alien,58,1.04
F,إسباني,Alien,56,1.01
M,إسباني,Alien,55,0.99
F,إيطالي,Alien,62,1.11
M,إيطالي,Alien,65,1.17
F,اردني,Alien,74,1.33
M,اردني,Alien,52,0.93
F,اماراتي,Alien,55,0.99
M,اماراتي,Alien,60,1.08
F,امريكي,Alien,49,0.88
M,امريكي,Alien,62,1.11
F,باكستاني,Alien,53,0.95
M,باكستاني,Alien,55,0.99
F,بحريني,Alien,66,1.19
M,بحريني,Alien,57,1.02
F,بريطاني,Alien,59,1.06
M,بريطاني,Alien,70,1.26
F,تركي,Alien,69,1.24
M,تركي,Alien,45,0.81
