year,month,tourist_visitors,prev_month_visitors,growth_rate_percent
2023,2,114,,
2023,3,269,114.0,135.96
2023,4,172,269.0,-36.06
2023,5,52,172.0,-69.77
2023,9,66,52.0,26.92
2023,10,221,66.0,234.85
2023,11,249,221.0,12.67
2023,12,316,249.0,26.91
2024,1,286,316.0,-9.49
2024,2,268,286.0,-6.29
2024,3,310,268.0,15.67
2024,4,178,310.0,-42.58
2024,5,47,178.0,-73.6
2024,9,64,47.0,36.17
2024,10,237,64.0,270.31
2024,11,268,237.0,13.08
2024,12,296,268.0,10.45
2025,1,307,296.0,3.72
2025,2,282,307.0,-8.14
2025,3,316,282.0,12.06
2025,4,239,316.0,-24.37
2025,5,68,239.0,-71.55
2025,9,4,68.0,-94.12
2025,10,20,4.0,400.0
2025,11,15,20.0,-25.0
2025,12,15,15.0,0.0
2026,1,9,15.0,-40.0
2026,2,9,9.0,0.0
