population_type,gender,age_group,count,percentage
السكان الأتراك,M,55-64,2,1.75
السكان الأتراك,F,25-34,6,5.26
السكان الأتراك,F,55-64,5,4.39
السكان الأتراك,M,45-54,4,3.51
السكان الأتراك,F,45-54,9,7.89
السكان الأتراك,F,15-24,8,7.02
السكان الأتراك,M,15-24,9,7.89
السكان الأتراك,M,25-34,8,7.02
السكان الأتراك,F,35-44,11,9.65
السكان الأتراك,F,65+,9,7.89
السكان الأتراك,M,65+,3,2.63
السكان الأتراك,M,0-14,17,14.91
السكان الأتراك,F,0-14,21,18.42
السكان الأتراك,M,35-44,2,1.75
متوسط المملكة,F,0-14,900,16.17
متوسط المملكة,F,15-24,410,7.37
متوسط المملكة,F,25-34,348,6.25
متوسط المملكة,F,35-44,293,5.27
متوسط المملكة,F,45-54,302,5.43
متوسط المملكة,F,55-64,208,3.74
متوسط المملكة,F,65+,336,6.04
متوسط المملكة,M,0-14,898,16.14
متوسط المملكة,M,15-24,392,7.04
متوسط المملكة,M,25-34,334,6.0
متوسط المملكة,M,35-44,324,5.82
متوسط المملكة,M,45-54,294,5.28
متوسط المملكة,M,55-64,242,4.35
متوسط المملكة,M,65+,284,5.1
