nationality,most_used_port,port_entries,total_entries,percentage
ياباني,مطار الملك خالد الدولي (الرياض),101849,199368,51.09
بحريني,مطار الملك خالد الدولي (الرياض),101177,198441,50.99
صيني,مطار الملك خالد الدولي (الرياض),100156,198329,50.50
كويتي,مطار الملك خالد الدولي (الرياض),100884,198049,50.94
عماني,مطار الملك خالد الدولي (الرياض),100568,197759,50.85
ألماني,مطار الملك خالد الدولي (الرياض),100661,197757,50.90
اردني,مطار الملك خالد الدولي (الرياض),100271,197077,50.88
بريطاني,مطار الملك خالد الدولي (الرياض),100005,196806,50.81
ليبي,مطار الملك خالد الدولي (الرياض),100877,196540,51.33
إيطالي,مطار الملك خالد الدولي (الرياض),100249,196432,51.03
