year_month,visitor_count,growth_rate_pct
2023-04,77,
2023-05,39,-49.35
2023-09,65,66.67
2023-10,200,207.69
2023-11,229,14.50
2023-12,204,-10.92
2024-01,220,7.84
2024-02,203,-7.73
2024-03,187,-7.88
2024-04,127,-32.09
2024-05,27,-78.74
2024-09,69,155.56
2024-10,216,213.04
2024-11,188,-12.96
2024-12,221,17.55
2025-01,192,-13.12
2025-02,189,-1.56
2025-03,207,9.52
2025-04,120,-42.03
2025-05,23,-80.83
2025-09,11,-52.17
2025-10,30,172.73
2025-11,63,110.00
2025-12,63,0.00
2026-01,45,-28.57
2026-02,17,-62.22
2026-03,8,-52.94
2026-04,1,-87.50
