wealth_level,avg_household_size,total_households,region
Lower Middle,1.0021205695243864,3301,منطقة الجوف
Lower Middle,1.0012307692307691,3250,منطقة نجران
Lower Middle,1.000895255147717,3351,الحدود الشمالية
Lower Middle,1.0006184291898577,3234,منطقة جازان
Lower Middle,1.000314366551399,3181,منطقة تبوك
Lower Middle,1.000309981401116,3226,منطقة الرياض
Lower Middle,1.0003023888720894,3307,منطقة مكة المكرمة
Lower Middle,1.0,3232,منطقة الباحة
Middle,1.0039334341906203,3305,منطقة الرياض
Middle,1.0033475349969567,3286,منطقة نجران
Middle,1.0012634238787113,3166,منطقة الجوف
Middle,1.0009088155104513,3301,منطقة الباحة
Middle,1.0006064281382656,3298,منطقة جازان
Middle,1.0003129890453835,3195,منطقة مكة المكرمة
Middle,1.0003115264797509,3210,منطقة تبوك
Middle,1.0,3226,الحدود الشمالية
Poor,1.0018461538461538,3250,منطقة الرياض
Poor,1.0018444512757454,3253,منطقة الجوف
Poor,1.0009055236945368,3313,منطقة مكة المكرمة
Poor,1.0009019843656044,3326,الحدود الشمالية
Poor,1.0006167129201358,3243,منطقة نجران
Poor,1.0006108735491752,3274,منطقة الباحة
Poor,1.0005973715651135,3348,منطقة تبوك
Poor,1.0003080714725816,3246,منطقة جازان
Rich,1.0018094089264173,3316,منطقة جازان
Rich,1.0012165450121655,3288,الحدود الشمالية
Rich,1.0006066120715802,3297,منطقة الرياض
Rich,1.0006055101422948,3303,منطقة الباحة
Rich,1.000598086124402,3344,منطقة تبوك
Rich,1.0003111387678905,3214,منطقة الجوف
Rich,1.0,3176,منطقة مكة المكرمة
Rich,1.0,3229,منطقة نجران
Upper Middle,1.0021498771498771,3256,منطقة تبوك
Upper Middle,1.0014832393948383,3371,منطقة جازان
Upper Middle,1.000931387767774,3221,منطقة الرياض
Upper Middle,1.0009074410163339,3306,منطقة الباحة
Upper Middle,1.000906892382104,3308,منطقة الجوف
Upper Middle,1.0006317119393557,3166,منطقة مكة المكرمة
Upper Middle,1.000618811881188,3232,الحدود الشمالية
Upper Middle,1.0006082725060828,3288,منطقة نجران
