birth_year,employee_count,average_salary
1946,10,24599.030000000002
1947,8,22488.8375
1948,5,24964.3
1949,10,22966.310000000005
1950,9,26271.35555555555
1951,7,23587.214285714286
1952,8,20546.5625
1953,5,25536.239999999998
1954,6,27385.266666666674
1955,13,20149.076923076922
1956,9,21519.17777777778
1957,9,25957.333333333332
1958,9,21526.0
1959,10,25225.989999999998
1960,10,24036.04
1961,13,21669.976923076923
1962,9,23300.777777777777
1963,9,21127.055555555555
1964,6,21666.283333333333
1965,6,26249.2
1966,12,26211.20833333334
1967,5,25317.18
1968,7,24099.957142857143
1969,6,25340.550000000003
1970,9,23758.66666666667
1971,3,25166.966666666664
1972,12,22480.291666666668
1973,5,26562.659999999996
1974,10,23372.41
1975,7,25259.471428571425
1976,7,28884.885714285716
1977,4,20121.025
1978,8,21731.4875
1979,13,23699.746153846154
1980,9,21481.199999999997
1981,10,21526.28
1982,8,25107.199999999997
1983,7,22587.399999999998
1984,7,28715.885714285712
1985,4,25921.95
1986,4,17938.75
1987,9,24235.877777777776
1988,8,24907.975000000002
1989,6,24384.833333333332
1990,5,20827.2
1991,9,22425.155555555557
1992,8,21177.962499999998
1993,10,23553.1
1994,6,19082.066666666666
1995,3,22142.433333333334
1996,9,22711.711111111115
1997,6,21569.116666666665
1998,16,24564.26875
1999,8,22435.6625
2000,11,24205.718181818185
2001,3,26939.7
2002,4,32584.1
2003,6,22741.95
2004,4,20971.499999999996
2005,6,25380.466666666664
2006,6,22596.833333333332
2007,5,32043.5
2008,5,23641.04
