year,month,visitor_count,prev_month_count,growth_rate_percentage
2023,9,65,,
2023,10,200,65.0,207.69
2023,11,229,200.0,14.50
2023,12,204,229.0,-10.92
2024,1,220,204.0,7.84
2024,2,203,220.0,-7.73
2024,3,187,203.0,-7.88
2024,4,127,187.0,-32.09
2024,5,27,127.0,-78.74
2024,9,69,27.0,155.56
2024,10,216,69.0,213.04
2024,11,188,216.0,-12.96
2024,12,221,188.0,17.55
2025,1,192,221.0,-13.12
2025,2,189,192.0,-1.56
2025,3,207,189.0,9.52
2025,4,120,207.0,-42.03
2025,5,23,120.0,-80.83
2025,9,11,23.0,-52.17
2025,10,30,11.0,172.73
2025,11,63,30.0,110.00
2025,12,63,63.0,0.00
2026,1,45,63.0,-28.57
2026,2,17,45.0,-62.22
2026,3,8,17.0,-52.94
2026,4,1,8.0,-87.50
