region,city,district,population,wkt
الحدود الشمالية,رفحاء,حى الفيصلية,174,"POLYGON ((43.497854 29.635997, 43.501791 29.634569, 43.499158 29.629242, 43.496216 29.630376, 43.494272 29.631774, 43.494035 29.632248, 43.49411 29.632668, 43.496099 29.636663, 43.497854 29.635997))"
منطقة الرياض,الرياض,السلي,28,"POLYGON ((46.857007 24.662522, 46.857393 24.654588, 46.899345 24.655549, 46.897793 24.653043, 46.896892 24.645858, 46.834971 24.616902, 46.806249 24.667867, 46.855677 24.691027, 46.856509 24.691215, 46.857105 24.664907, 46.857007 24.662522))"
منطقة الرياض,الخرج,السلام,35,"POLYGON ((47.307313 24.144584, 47.30542 24.143311, 47.304944 24.143225, 47.30465 24.143352, 47.302722 24.148605, 47.306986 24.152298, 47.309601 24.155153, 47.313276 24.157696, 47.318136 24.152703, 47.307313 24.144584))"
منطقة جازان,صبيا,الخالدية,329,"POLYGON ((42.62089 17.149057, 42.619685 17.14734, 42.61794 17.14746, 42.617385 17.146226, 42.617381 17.145712, 42.617743 17.144768, 42.61847 17.144303, 42.619099 17.144141, 42.619182 17.143754, 42.61598 17.142999, 42.61541 17.143181, 42.613502 17.147271, 42.61319 17.148757, 42.616867 17.149402, 42.618481 17.149387, 42.62089 17.149057))"
منطقة الباحة,بلجرشي,الحشو,191,"POLYGON ((41.518816 19.630119, 41.518507 19.629952, 41.517888 19.63075, 41.518352 19.630976, 41.518816 19.630119))"
منطقة الباحة,بلجرشي,الحشو,191,"POLYGON ((41.522076 19.628905, 41.520672 19.628061, 41.520244 19.62837, 41.520874 19.630178, 41.521041 19.631428, 41.519197 19.63414, 41.520208 19.635128, 41.523492 19.634033, 41.522635 19.629536, 41.522076 19.628905))"
منطقة مكة المكرمة,جدة,الحمراء,41,"POLYGON ((39.176889 21.541397, 39.179427 21.529401, 39.164026 21.523188, 39.165429 21.519844, 39.166515 21.515658, 39.161392 21.513791, 39.160084 21.511632, 39.159695 21.511956, 39.159256 21.512057, 39.159015 21.512338, 39.159111 21.512131, 39.158938 21.51233, 39.158675 21.512165, 39.15839 21.512363, 39.157071 21.511499, 39.158077 21.510067, 39.158339 21.509944, 39.158478 21.509528, 39.158313 21.509422, 39.158114 21.50957, 39.157882 21.508846, 39.157461 21.508894, 39.156837 21.509282, 39.156688 21.509697, 39.156876 21.510143, 39.156678 21.510406, 39.155654 21.509995, 39.15519 21.510097, 39.155066 21.51042, 39.155288 21.510991, 39.155296 21.511568, 39.154106 21.513431, 39.153293 21.515534, 39.153283 21.516525, 39.152585 21.517815, 39.152608 21.518392, 39.152183 21.519022, 39.151304 21.5211, 39.15015 21.521889, 39.149695 21.52236, 39.149676 21.522661, 39.150151 21.523228, 39.150468 21.524329, 39.151068 21.525113, 39.151592 21.525517, 39.15166 21.525756, 39.152665 21.526444, 39.155583 21.528992, 39.156376 21.530176, 39.15798 21.530176, 39.156488 21.530407, 39.157083 21.531137, 39.157211 21.532199, 39.156437 21.533454, 39.156116 21.53373, 39.156137 21.533978, 39.156378 21.533962, 39.156229 21.534397, 39.157119 21.534968, 39.168462 21.539619, 39.16987 21.54037, 39.176802 21.541771, 39.176889 21.541397))"
منطقة الرياض,الرياض,العليا,21,"POLYGON ((46.688779 24.67881, 46.682758 24.676395, 46.68045 24.675786, 46.678114 24.675408, 46.678391 24.678079, 46.678074 24.679568, 46.663567 24.708402, 46.671985 24.712063, 46.688779 24.67881))"
منطقة الرياض,الرياض,العليا,21,"POLYGON ((46.703419 24.675474, 46.701502 24.673145, 46.700105 24.671718, 46.697844 24.669725, 46.695819 24.668208, 46.69352 24.670306, 46.69257 24.67145, 46.688779 24.67881, 46.699646 24.683403, 46.701582 24.679577, 46.703419 24.675474))"
منطقة الرياض,الرياض,العليا,21,"POLYGON ((46.688779 24.67881, 46.671985 24.712063, 46.681948 24.716466, 46.687296 24.706255, 46.690425 24.707578, 46.691224 24.705897, 46.691912 24.701852, 46.696168 24.693404, 46.699954 24.694999, 46.703316 24.696945, 46.698917 24.685808, 46.69892 24.684949, 46.699646 24.683403, 46.688779 24.67881))"
منطقة الجوف,سكاكا,الياسمين,109,"POLYGON ((40.190961 29.823944, 40.185382 29.823565, 40.184792 29.823756, 40.184469 29.824136, 40.183895 29.826446, 40.183391 29.827328, 40.182825 29.827915, 40.180187 29.829571, 40.178779 29.830754, 40.17752 29.832327, 40.176285 29.834639, 40.179882 29.83622, 40.182515 29.837765, 40.19123 29.845094, 40.205866 29.832915, 40.193265 29.824172, 40.190961 29.823944))"
الحدود الشمالية,رفحاء,الطويريق,169,"POLYGON ((43.348272 29.728329, 43.346606 29.725807, 43.331473 29.7378, 43.33547 29.742178, 43.340895 29.73818, 43.340943 29.734421, 43.348272 29.728329))"
منطقة تبوك,تبوك,الرحاب 2,63,"POLYGON ((36.595625 28.457752, 36.593695 28.456196, 36.592206 28.457871, 36.596173 28.461049, 36.597639 28.459398, 36.595625 28.457752))"
منطقة الباحة,الباحة,العقله,112,"POLYGON ((41.32059 20.232144, 41.321843 20.226948, 41.323419 20.212196, 41.325137 20.211404, 41.325472 20.209876, 41.323003 20.209876, 41.321632 20.212585, 41.315993 20.213598, 41.310468 20.216582, 41.309783 20.219766, 41.308155 20.221979, 41.311453 20.226719, 41.315693 20.228946, 41.319006 20.22986, 41.31892 20.231302, 41.31942 20.232115, 41.32059 20.232144))"
منطقة تبوك,ضبا,الطلعة الشمالية,115,"POLYGON ((35.161512 28.074252, 35.151521 28.059876, 35.149671 28.062289, 35.146699 28.068184, 35.144917 28.068892, 35.144174 28.069003, 35.147263 28.07652, 35.150376 28.080077, 35.155268 28.082456, 35.158523 28.081733, 35.161302 28.080876, 35.162578 28.07823, 35.161512 28.074252))"
منطقة جازان,جازان,الروضة,117,"POLYGON ((42.57861 16.922554, 42.57864 16.922342, 42.578341 16.922273, 42.578256 16.922428, 42.571854 16.920914, 42.57361 16.904831, 42.560483 16.904168, 42.560451 16.901862, 42.560608 16.901679, 42.568427 16.902076, 42.568532 16.899098, 42.568789 16.898127, 42.565263 16.896395, 42.557577 16.891988, 42.557157 16.891594, 42.556467 16.892299, 42.553065 16.89499, 42.550454 16.89763, 42.550091 16.897697, 42.550045 16.897964, 42.550238 16.898134, 42.550089 16.898765, 42.553235 16.899447, 42.553891 16.899845, 42.554436 16.900451, 42.558782 16.910065, 42.561445 16.914119, 42.564864 16.921532, 42.565055 16.924051, 42.578153 16.925748, 42.57861 16.922554))"
منطقة جازان,جازان,الروضة,117,"POLYGON ((42.817617 16.97096, 42.817752 16.969303, 42.817682 16.9672, 42.817994 16.962842, 42.818948 16.960072, 42.813545 16.957751, 42.812022 16.960626, 42.81 16.966583, 42.809984 16.973595, 42.817617 16.97096))"
منطقة الرياض,الرياض,الملز,16,"POLYGON ((46.746671 24.669923, 46.74843 24.665816, 46.754549 24.65414, 46.752707 24.653544, 46.740374 24.65297, 46.738783 24.652666, 46.73736 24.65195, 46.734175 24.649539, 46.733235 24.646903, 46.716153 24.651219, 46.717533 24.658049, 46.718211 24.667003, 46.727527 24.666434, 46.72806 24.666512, 46.729064 24.667076, 46.728169 24.66839, 46.727811 24.668646, 46.72774 24.66968, 46.728329 24.670491, 46.726463 24.678841, 46.739362 24.681116, 46.740882 24.681773, 46.742679 24.679684, 46.746671 24.669923))"
منطقة الجوف,سكاكا,البستان,115,"POLYGON ((40.237244 29.913744, 40.2191 29.909183, 40.222011 29.92266, 40.223827 29.929357, 40.233683 29.926136, 40.232733 29.929026, 40.238033 29.93031, 40.23963 29.925506, 40.240565 29.923223, 40.245577 29.925558, 40.247947 29.922061, 40.236717 29.916987, 40.237743 29.91387, 40.237244 29.913744))"
منطقة مكة المكرمة,مكة المكرمة,حي جرول,62,"POLYGON ((39.822626 21.427716, 39.822152 21.427397, 39.82201 21.427708, 39.819187 21.426749, 39.819745 21.425904, 39.820168 21.424626, 39.819721 21.423758, 39.818715 21.423982, 39.813975 21.424303, 39.814566 21.4256, 39.814745 21.427434, 39.815523 21.428202, 39.815693 21.429314, 39.816418 21.43117, 39.814927 21.434282, 39.81712 21.435262, 39.818039 21.435461, 39.819238 21.435295, 39.820286 21.434663, 39.822305 21.432912, 39.822607 21.430277, 39.822271 21.429747, 39.822293 21.429401, 39.82301 21.427935, 39.822626 21.427716))"
منطقة الرياض,الخرج,العزيزية,41,"POLYGON ((47.303551 24.146304, 47.304257 24.144516, 47.303267 24.144124, 47.302624 24.14536, 47.30218 24.14524, 47.302067 24.145479, 47.298252 24.143852, 47.297387 24.143816, 47.296801 24.143325, 47.29664 24.143414, 47.293105 24.140422, 47.289283 24.143151, 47.286182 24.143764, 47.294111 24.153415, 47.300399 24.154887, 47.303551 24.146304))"
منطقة مكة المكرمة,جدة,الصفا,49,"POLYGON ((39.226432 21.593253, 39.22734 21.589782, 39.229023 21.580315, 39.229651 21.577636, 39.230509 21.572624, 39.231119 21.567841, 39.22973 21.567335, 39.22573 21.566727, 39.202062 21.562242, 39.199812 21.572272, 39.199032 21.577695, 39.198342 21.580424, 39.196058 21.588079, 39.192258 21.599832, 39.211781 21.605187, 39.221152 21.608226, 39.222174 21.605925, 39.226432 21.593253), (39.220458 21.589869, 39.220486 21.589748, 39.222197 21.59004, 39.221329 21.593148, 39.219749 21.592727, 39.220458 21.589869))"
منطقة الباحة,الباحة,الزهراء,119,"POLYGON ((41.296634 20.165496, 41.299381 20.161248, 41.29942 20.160735, 41.299714 20.160417, 41.299509 20.159392, 41.299668 20.158274, 41.29977 20.157994, 41.300067 20.157992, 41.300147 20.15781, 41.299911 20.156235, 41.299792 20.156006, 41.298826 20.155796, 41.297947 20.155993, 41.296561 20.155072, 41.29602 20.155423, 41.295818 20.154976, 41.294947 20.154776, 41.294484 20.153738, 41.293939 20.14999, 41.294228 20.148717, 41.293451 20.14919, 41.292688 20.147732, 41.291779 20.147157, 41.291161 20.149296, 41.290839 20.149376, 41.290716 20.153696, 41.290366 20.154612, 41.28975 20.155393, 41.290127 20.155683, 41.290604 20.155407, 41.290864 20.155746, 41.291688 20.155966, 41.292051 20.156929, 41.292393 20.159261, 41.292337 20.160718, 41.292516 20.160919, 41.2929 20.160873, 41.293981 20.161929, 41.294612 20.162011, 41.295152 20.162368, 41.295582 20.162259, 41.295632 20.162498, 41.295221 20.162805, 41.295138 20.163158, 41.295441 20.163545, 41.295895 20.163565, 41.296216 20.163792, 41.296204 20.164926, 41.296634 20.165496))"
منطقة مكة المكرمة,جدة,الروضة,51,"POLYGON ((39.143327 21.54848, 39.142671 21.557683, 39.143264 21.574717, 39.165341 21.580962, 39.17372 21.555855, 39.152261 21.549634, 39.143327 21.54848))"
منطقة تبوك,الوجه,حي المصيف,117,"POLYGON ((36.45076 26.254818, 36.450119 26.255674, 36.450394 26.255783, 36.445429 26.262028, 36.447924 26.264067, 36.450168 26.262147, 36.453996 26.255955, 36.45076 26.254818))"
منطقة مكة المكرمة,مكة المكرمة,حي العوالي,43,"POLYGON ((39.99469 21.300053, 39.995195 21.299822, 39.996243 21.300433, 39.997231 21.301272, 39.998297 21.301819, 40.000746 21.302515, 40.001092 21.302521, 40.001379 21.30225, 40.001165 21.301918, 40.001952 21.300882, 40.002555 21.300982, 40.003026 21.30081, 40.003093 21.300339, 40.002418 21.300042, 40.002585 21.299438, 40.001634 21.298986, 40.00063 21.298773, 40.000535 21.298261, 39.999888 21.298474, 39.999036 21.298365, 39.998343 21.297837, 39.998329 21.296734, 39.998628 21.296394, 39.999325 21.296198, 39.999613 21.295033, 39.999159 21.294119, 39.998102 21.293698, 39.996372 21.294003, 39.99524 21.294893, 39.995479 21.295165, 39.992694 21.296811, 39.990649 21.296706, 39.990118 21.296435, 39.989782 21.296098, 39.990109 21.29504, 39.991086 21.293523, 39.991222 21.292247, 39.991731 21.29101, 39.99157 21.289785, 39.991859 21.289071, 39.990526 21.288168, 39.990213 21.289633, 39.989461 21.289726, 39.988881 21.290225, 39.98774 21.290231, 39.987619 21.290819, 39.987364 21.291102, 39.987462 21.292118, 39.986844 21.292159, 39.986719 21.293157, 39.986496 21.293149, 39.986467 21.293396, 39.985482 21.293183, 39.985227 21.294458, 39.985574 21.294759, 39.985318 21.295948, 39.984893 21.295989, 39.984267 21.296325, 39.983153 21.296474, 39.983342 21.297375, 39.983083 21.298089, 39.982554 21.298193, 39.981818 21.297864, 39.981418 21.297477, 39.981015 21.297505, 39.98067 21.297898, 39.980761 21.298993, 39.981593 21.299588, 39.981617 21.300073, 39.980463 21.300402, 39.979889 21.302589, 39.985753 21.305639, 39.987843 21.307206, 39.9897 21.304005, 39.990314 21.303393, 39.991447 21.30314, 39.99469 21.300053))"
