region,nationality,population
الحدود الشمالية,بريطاني,22
الحدود الشمالية,صيني,22
الحدود الشمالية,كويتي,20
منطقة الباحة,بريطاني,14
منطقة الباحة,صيني,22
منطقة الباحة,كويتي,15
منطقة الجوف,بريطاني,13
منطقة الجوف,صيني,17
منطقة الجوف,كويتي,8
منطقة الرياض,بريطاني,17
منطقة الرياض,صيني,20
منطقة الرياض,كويتي,19
منطقة تبوك,بريطاني,17
منطقة تبوك,صيني,12
منطقة تبوك,كويتي,16
منطقة جازان,بريطاني,11
منطقة جازان,صيني,16
منطقة جازان,كويتي,15
منطقة مكة المكرمة,بريطاني,22
منطقة مكة المكرمة,صيني,19
منطقة مكة المكرمة,كويتي,15
منطقة نجران,بريطاني,15
منطقة نجران,صيني,15
منطقة نجران,كويتي,24
