nationality,most_used_port,port_entries,total_nationality_entries,port_percentage
باكستاني,مطار الملك خالد الدولي (الرياض),29,54,53.70
ياباني,مطار الملك خالد الدولي (الرياض),31,50,62.00
بريطاني,مطار الملك عبدالعزيز الدولي (جدة),21,49,42.86
هندي,مطار الملك خالد الدولي (الرياض),32,49,65.31
لبناني,مطار الملك خالد الدولي (الرياض),24,46,52.17
فرنسي,مطار الملك عبدالعزيز الدولي (جدة),22,46,47.83
سوري,مطار الملك خالد الدولي (الرياض),29,43,67.44
إيطالي,مطار الملك خالد الدولي (الرياض),20,43,46.51
قطري,مطار الملك خالد الدولي (الرياض),24,42,57.14
مصري,مطار الملك عبدالعزيز الدولي (جدة),19,42,45.24
