nationality,port,port_entries,total_for_nationality,port_percentage
باكستاني,مطار الملك خالد الدولي (الرياض),29,54,53.70
باكستاني,مطار الملك عبدالعزيز الدولي (جدة),15,54,27.78
باكستاني,مطار الملك فهد الدولي (الدمام),3,54,5.56
باكستاني,منفذ واديا,3,54,5.56
باكستاني,منفذ الحديثة,3,54,5.56
باكستاني,ميناء جدة الإسلامي,1,54,1.85
ياباني,مطار الملك خالد الدولي (الرياض),31,50,62.00
ياباني,مطار الملك عبدالعزيز الدولي (جدة),10,50,20.00
ياباني,مطار الملك فهد الدولي (الدمام),4,50,8.00
ياباني,ميناء جدة الإسلامي,3,50,6.00
ياباني,منفذ علب,2,50,4.00
هندي,مطار الملك خالد الدولي (الرياض),32,49,65.31
بريطاني,مطار الملك عبدالعزيز الدولي (جدة),21,49,42.86
بريطاني,مطار الملك خالد الدولي (الرياض),16,49,32.65
هندي,مطار الملك عبدالعزيز الدولي (جدة),9,49,18.37
هندي,منفذ سلوى,3,49,6.12
بريطاني,ميناء جازان,3,49,6.12
بريطاني,مطار الأمير محمد بن عبدالعزيز (المدينة المنورة),3,49,6.12
بريطاني,جسر الملك فهد,2,49,4.08
بريطاني,منفذ الجديدة عرعر,2,49,4.08
هندي,منفذ البطحاء,2,49,4.08
هندي,منفذ علب,2,49,4.08
هندي,مطار الملك فهد الدولي (الدمام),1,49,2.04
بريطاني,منفذ سلوى,1,49,2.04
بريطاني,ميناء جدة الإسلامي,1,49,2.04
لبناني,مطار الملك خالد الدولي (الرياض),24,46,52.17
فرنسي,مطار الملك عبدالعزيز الدولي (جدة),22,46,47.83
فرنسي,مطار الملك خالد الدولي (الرياض),21,46,45.65
لبناني,مطار الملك عبدالعزيز الدولي (جدة),18,46,39.13
لبناني,منفذ واديا,3,46,6.52
فرنسي,مطار الأمير محمد بن عبدالعزيز (المدينة المنورة),3,46,6.52
لبناني,منفذ البطحاء,1,46,2.17
سوري,مطار الملك خالد الدولي (الرياض),29,43,67.44
إيطالي,مطار الملك خالد الدولي (الرياض),20,43,46.51
إيطالي,مطار الملك عبدالعزيز الدولي (جدة),13,43,30.23
سوري,مطار الملك عبدالعزيز الدولي (جدة),12,43,27.91
إيطالي,مطار الأمير محمد بن عبدالعزيز (المدينة المنورة),4,43,9.30
إيطالي,منفذ سلوى,3,43,6.98
إيطالي,ميناء جدة الإسلامي,3,43,6.98
سوري,منفذ الرقعي,2,43,4.65
امريكي,مطار الملك خالد الدولي (الرياض),23,42,54.76
مصري,مطار الملك عبدالعزيز الدولي (جدة),19,42,45.24
مصري,مطار الملك خالد الدولي (الرياض),18,42,42.86
امريكي,مطار الملك عبدالعزيز الدولي (جدة),18,42,42.86
مصري,منفذ الحديثة,3,42,7.14
مصري,مطار الأمير محمد بن عبدالعزيز (المدينة المنورة),1,42,2.38
مصري,منفذ البطحاء,1,42,2.38
امريكي,ميناء جدة الإسلامي,1,42,2.38
