city,wealth_level,highest_education,count,edu_rank
الرياض,Lower Middle,ماجستير,3,1
الرياض,Lower Middle,بكالوريوس,3,2
الرياض,Lower Middle,دبلوم عالي,2,3
الرياض,Lower Middle,دبلوم متوسط,1,4
الرياض,Middle,بكالوريوس,2,1
الرياض,Middle,دكتوراه,1,2
الرياض,Middle,دبلوم عالي,1,3
الرياض,Middle,ماجستير,1,4
الرياض,Poor,دكتوراه,3,1
الرياض,Poor,ماجستير,2,2
الرياض,Poor,بكالوريوس,1,3
الرياض,Rich,دكتوراه,3,1
الرياض,Rich,بكالوريوس,2,2
الرياض,Upper Middle,ماجستير,5,1
الرياض,Upper Middle,دبلوم عالي,5,2
الرياض,Upper Middle,دكتوراه,4,3
الرياض,Upper Middle,دبلوم متوسط,2,4
الرياض,Upper Middle,بكالوريوس,1,5
جدة,Lower Middle,ماجستير,5,1
جدة,Lower Middle,بكالوريوس,4,2
جدة,Lower Middle,دكتوراه,2,3
جدة,Lower Middle,دبلوم عالي,2,4
جدة,Middle,بكالوريوس,7,1
جدة,Middle,ماجستير,3,2
جدة,Middle,دكتوراه,1,4
جدة,Middle,دبلوم متوسط,1,3
جدة,Middle,دبلوم عالي,1,5
جدة,Poor,ماجستير,6,1
جدة,Poor,دكتوراه,6,2
جدة,Poor,دبلوم عالي,2,3
جدة,Poor,بكالوريوس,2,4
جدة,Rich,ماجستير,5,1
جدة,Rich,دكتوراه,4,2
جدة,Rich,بكالوريوس,3,3
جدة,Rich,دبلوم عالي,1,4
جدة,Upper Middle,ماجستير,5,1
جدة,Upper Middle,دكتوراه,3,2
جدة,Upper Middle,دبلوم عالي,3,3
جدة,Upper Middle,دبلوم متوسط,2,4
