city,gender,count,percentage
الباحة,F,168,48.7
الباحة,M,177,51.3
الخرج,F,111,50.23
الخرج,M,110,49.77
الدرعية,F,119,54.59
الدرعية,M,99,45.41
الرياض,F,113,48.71
الرياض,M,119,51.29
الوجه,F,122,52.59
الوجه,M,110,47.41
بلجرشي,F,191,54.73
بلجرشي,M,158,45.27
تبوك,F,115,46.94
تبوك,M,130,53.06
جازان,F,189,55.1
جازان,M,154,44.9
جدة,F,185,52.11
جدة,M,170,47.89
دومة الجندل,F,209,53.59
دومة الجندل,M,181,46.41
رفحاء,F,165,48.1
رفحاء,M,178,51.9
سكاكا,F,174,49.86
سكاكا,M,175,50.14
صبيا,F,141,42.86
صبيا,M,188,57.14
ضبا,F,109,49.77
ضبا,M,110,50.23
عرعر,F,198,51.43
عرعر,M,187,48.57
مكة المكرمة,F,143,44.14
مكة المكرمة,M,181,55.86
نجران,F,352,50.21
نجران,M,349,49.79
